timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
29112000,29032000,1311004,-0.0014151357,-0.005941578,0.0009079766,0.34906584,3.0832877e-07,3.0680036e-07,1.2554442e-05,1311004,-0.016025972,0.013910973,-0.0975623,0.4,0.003635607,0.0036349997,0.00078124576,197388,-0.0024012446,0.0006003793,0.0013214777,0.5,0.00010592717,0.00076700223,0.0007671526,1,0,1,0,1,0
29512000,29432000,1311004,-0.001398943,-0.005943244,0.0008858477,0.34906584,3.0178984e-07,3.013175e-07,1.235997e-05,1311004,-0.016075922,0.013493412,-0.096384734,0.4,0.0036311864,0.0036294144,0.00078124576,197388,-0.0025014253,0.0006665542,0.0012790732,0.5,0.00010387345,0.00076249783,0.00076225,1,0,1,0,1,0
29912000,29832000,1311004,-0.0013844697,-0.0059393547,0.00087200804,0.34906584,2.9495234e-07,2.951988e-07,1.2230038e-05,1311004,-0.01598453,0.01305663,-0.09475124,0.4,0.0036255303,0.0036231682,0.00078124576,197388,-0.0025707,0.00061878824,0.0014174996,0.5,0.000102523234,0.00074554345,0.0007447695,1,0,1,0,1,0
30312000,30232000,1311004,-0.0013624382,-0.0059206034,0.0009178856,0.34906584,2.8779365e-07,2.8836735e-07,1.199565e-05,1311004,-0.015485047,0.012501368,-0.09384073,0.4,0.0036184266,0.0036160736,0.00078124576,197388,-0.0027999373,0.0006034253,0.0013071882,0.5,0.00010040186,0.00070547976,0.00070414,1,0,1,0,1,0
30712000,30632000,1311004,-0.0013426334,-0.0058952277,0.0010333601,0.34906584,2.8050383e-07,2.8144584e-07,1.1603843e-05,1311004,-0.014771974,0.012017473,-0.09296048,0.4,0.0036104543,0.003608327,0.00078124576,197388,-0.0032567848,0.0008325654,0.000984337,0.5,9.701816e-05,0.0006560695,0.0006545271,1,0,1,0,1,0
31112000,31032000,1311004,-0.0013320281,-0.0058683367,0.0012236867,0.34906584,2.7330825e-07,2.7532226e-07,1.1106715e-05,1311004,-0.01398203,0.011804879,-0.09203383,0.4,0.00360269,0.003600426,0.00078124576,197388,-0.0037303907,0.00096825015,0.0008642818,0.5,9.25984e-05,0.0006192749,0.0006178341,1,0,1,0,1,0
31512000,31432000,1311004,-0.0013263678,-0.005841666,0.001409422,0.34906584,2.662543e-07,2.7039343e-07,1.0578189e-05,1311004,-0.01319733,0.011757389,-0.09084375,0.4,0.0035957526,0.0035926143,0.00078124576,197388,-0.004336662,0.00075553794,0.0009384671,0.5,8.770271e-05,0.000588662,0.0005874722,1,0,1,0,1,0
31912000,31832000,1311004,-0.0013351215,-0.0058127614,0.0015857706,0.34906584,2.5949404e-07,2.6642826e-07,1.01590085e-05,1311004,-0.012375495,0.012125322,-0.08964339,0.4,0.0035897223,0.0035852594,0.00078124576,197388,-0.005029397,0.0007335241,0.0009370907,0.5,8.346624e-05,0.0005750587,0.00057405216,1,0,1,0,1,0
32312000,32232000,1311004,-0.0013526129,-0.005787425,0.0017171213,0.34906584,2.531263e-07,2.6271945e-07,9.911366e-06,1311004,-0.011676633,0.012737902,-0.088421516,0.4,0.0035841793,0.0035784459,0.00078124576,197388,-0.0054797786,0.0006063127,0.00089945935,0.5,8.057122e-05,0.0005726794,0.0005716991,1,0,1,0,1,0
32712000,32632000,1311004,-0.0013799167,-0.0057642013,0.0017570372,0.34906584,2.470691e-07,2.583618e-07,9.768685e-06,1311004,-0.011090783,0.013548028,-0.08748956,0.4,0.0035785707,0.0035720433,0.00078124576,197388,-0.0058218567,0.0006166232,0.0008759079,0.5,7.886202e-05,0.0005708403,0.00056971813,1,0,1,0,1,0
33112000,33032000,1311004,-0.0014115965,-0.0057499395,0.0017164641,0.34906584,2.413455e-07,2.525755e-07,9.640694e-06,1311004,-0.010771024,0.014458744,-0.08637641,0.4,0.0035724537,0.0035658213,0.00078124576,197388,-0.0060076397,0.00055195956,0.00070490374,0.5,7.810255e-05,0.00055925426,0.0005579717,1,0,1,0,1,0
33512000,33432000,1311004,-0.0014438849,-0.0057244524,0.001590431,0.34906584,2.3597177e-07,2.451438e-07,9.415439e-06,1311004,-0.010196173,0.01533002,-0.08558704,0.4,0.0035657666,0.0035596637,0.00078124576,197388,-0.0060926992,0.00090096,0.00051224005,0.5,7.7665776e-05,0.0005398019,0.00053851726,1,0,1,0,1,0
33912000,33832000,1311004,-0.0014640487,-0.0057021286,0.00145234,0.34906584,2.3079815e-07,2.3685514e-07,8.9670175e-06,1311004,-0.009692992,0.01588251,-0.084718145,0.4,0.003559109,0.0035536157,0.00078124576,197388,-0.006013129,0.001490098,0.0002512609,0.5,7.675998e-05,0.00051066745,0.0005095556,1,0,1,0,1,0
34432000,34352000,1311004,-0.0014807747,-0.00568789,0.0013600697,0.34906584,2.2681114e-07,2.3004682e-07,8.345166e-06,1311004,-0.009383754,0.016348105,-0.08384412,0.4,0.0035532531,0.0035479604,0.00078124576,197388,-0.0058916565,0.0014985857,0.00031991376,0.5,7.5258664e-05,0.00048091947,0.00048009842,1,0,1,0,1,0
35112000,35032000,1311004,-0.0014826147,-0.0056767776,0.0012665754,0.34906584,2.1717071e-07,2.1800456e-07,7.354905e-06,1311004,-0.009140908,0.016400076,-0.08275379,0.4,0.003544579,0.0035386248,0.00078124576,197388,-0.005783365,0.0013664273,2.2398926e-05,0.5,7.2375435e-05,0.00046276054,0.00046223408,1,0,1,0,1,0
35512000,35432000,1311004,-0.0014756788,-0.0056657223,0.0011743488,0.34906584,2.132234e-07,2.1422142e-07,7.008567e-06,1311004,-0.008892288,0.016176343,-0.08140619,0.4,0.0035410943,0.0035347778,0.00078124576,197388,-0.005691704,0.0014069299,-7.718592e-05,0.5,7.163564e-05,0.00046108552,0.0004606101,1,0,1,0,1,0
36312000,36232000,1311004,-0.0014521983,-0.005657526,0.0011356769,0.34906584,2.0624182e-07,2.0778921e-07,6.623179e-06,1311004,-0.008679726,0.015593257,-0.08002813,0.4,0.0035344106,0.0035281586,0.00078124576,197388,-0.0057137134,0.0013497052,-0.0001969105,0.5,7.1260336e-05,0.000453328,0.0004525594,1,0,1,0,1,0
37112000,37032000,1311004,-0.0014278357,-0.005640315,0.001176975,0.34906584,2.001234e-07,2.021827e-07,6.149869e-06,1311004,-0.008239812,0.0149637,-0.07814579,0.4,0.0035275728,0.0035219775,0.00078124576,197388,-0.0059452374,0.001426138,-4.756262e-05,0.5,6.898532e-05,0.00042239606,0.000421406,1,0,1,0,1,0
37512000,37432000,1311004,-0.001419118,-0.0056258473,0.0012382659,0.34906584,1.973613e-07,2.0033859e-07,5.818364e-06,1311004,-0.007890907,0.014750763,-0.076945275,0.4,0.0035247572,0.003519266,0.00078124576,197388,-0.006286871,0.0015068809,-5.1424893e-05,0.5,6.6667264e-05,0.00040453326,0.00040362764,1,0,1,0,1,0
37912000,37832000,1311004,-0.0014172987,-0.005608627,0.0013394471,0.34906584,1.9483576e-07,1.9926131e-07,5.5058554e-06,1311004,-0.0074945125,0.014750214,-0.075743794,0.4,0.0035225337,0.003516962,0.00078124576,197388,-0.006702682,0.0013699392,0.00016629414,0.5,6.4222986e-05,0.00039258724,0.0003918107,1,0,1,0,1,0
38312000,38232000,1311004,-0.0014186084,-0.0055994154,0.0013667519,0.34906584,1.9259026e-07,1.9866296e-07,5.2806417e-06,1311004,-0.007295194,0.014802819,-0.07457757,0.4,0.0035207614,0.0035150533,0.00078124576,197388,-0.0069377674,0.0014097617,0.00035845058,0.5,6.2245446e-05,0.00038817717,0.0003874849,1,0,1,0,1,0
