timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
49200000,11904000,3,1311004,6620172,1311004,197388,0.025844514,0.029067334,0.029203331,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
50208000,11904000,3,1311004,6620172,1311004,197388,0.030658055,0.031493336,0.03137038,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
51216000,11904000,3,1311004,6620172,1311004,197388,0.025917672,0.025624886,0.025422469,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
52224000,11904000,3,1311004,6620172,1311004,197388,0.02806849,0.02796203,0.028277524,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
53232000,11904000,3,1311004,6620172,1311004,197388,0.02852468,0.02857983,0.028803118,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
54240000,11904000,3,1311004,6620172,1311004,197388,0.024166998,0.024337234,0.023703229,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
55248000,11904000,3,1311004,6620172,1311004,197388,0.037549328,0.042006344,0.041141354,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
56256000,11904000,3,1311004,6620172,1311004,197388,0.036147602,0.036977395,0.036373757,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
57264000,11904000,3,1311004,6620172,1311004,197388,0.01166664,0.01164605,0.011562997,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
58272000,11904000,3,1311004,6620172,1311004,197388,0.021599408,0.02295611,0.022363143,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
