timestamp,load,ram_usage
70004000,0.16,0.19398849
70504000,0.16,0.19399734
71004000,0.15686275,0.193995
71504000,0.18367347,0.19399008
72004000,0.13725491,0.19399525
72504000,0.16,0.19399881
73004000,0.1764706,0.19399352
73504000,0.16666667,0.19399746
74004000,0.16,0.19400176
74504000,0.15686275,0.19399795
75004000,0.16,0.19400263
75504000,0.15686275,0.19401295
76004000,0.16,0.19401024
76504000,0.16,0.19401295
77004000,0.18367347,0.19401012
77504000,0.16,0.19401368
78004000,0.18,0.19401897
78504000,0.16,0.19401382
79004000,0.15686275,0.19401897
79504000,0.15686275,0.19400668
80004000,0.15686275,0.19402008
80504000,0.1632653,0.1940153
81004000,0.16,0.1940116
81504000,0.18,0.19400853
82004000,0.14285715,0.19400766
82504000,0.15686275,0.19401087
83004000,0.16,0.19401602
83504000,0.18,0.19401886
84004000,0.1764706,0.1940116
84504000,0.15686275,0.19401897
85004000,0.1632653,0.1940164
85504000,0.15384616,0.19402021
86004000,0.1632653,0.19402537
86504000,0.16,0.19401246
87004000,0.15686275,0.19400963
87504000,0.18367347,0.19401307
88004000,0.14,0.1940105
88504000,0.15686275,0.19400582
89004000,0.16,0.19400926
89504000,0.1764706,0.19400582
90004000,0.16,0.19400263
90504000,0.1875,0.19401541
91004000,0.16,0.19399783
91504000,0.15384616,0.19399144
92004000,0.1632653,0.19399709
92504000,0.15686275,0.19400755
93004000,0.16,0.19400509
93504000,0.16,0.19397742
94004000,0.18,0.19398282
94504000,0.16,0.1939762
95004000,0.16,0.19398247
95504000,0.16,0.19465892
96004000,0.18,0.1946556
96504000,0.16,0.19464281
97004000,0.18,0.19474646
97504000,0.15686275,0.19475986
98004000,0.16,0.1947258
98504000,0.1632653,0.19472949
99004000,0.18,0.19472642
99504000,0.14,0.19413368
100004000,0.17307693,0.1941327
100504000,0.14583333,0.19409508
101004000,0.15686275,0.19410048
101504000,0.16,0.19410196
102004000,0.15686275,0.19410639
102504000,0.16,0.19408168
103004000,0.18367347,0.19408758
103504000,0.18,0.19401024
104004000,0.13725491,0.19400668
104504000,0.15686275,0.19400361
105004000,0.1632653,0.19397631
105504000,0.15686275,0.1939725
106004000,0.15686275,0.19396967
106504000,0.18,0.19397263
107004000,0.14285715,0.19395849
107504000,0.1764706,0.19395049
108004000,0.16,0.19394693
108504000,0.1632653,0.19394201
109004000,0.15686275,0.19393796
109504000,0.16,0.19393426
110004000,0.18367347,0.19393869
110504000,0.15686275,0.1939355
111004000,0.15686275,0.19393267
111504000,0.14285715,0.1939275
112004000,0.16,0.19390993
112504000,0.18367347,0.1939189
113004000,0.15686275,0.1939157
113504000,0.16,0.1939259
114004000,0.16,0.19392258
114504000,0.13725491,0.19391042
115004000,0.2,0.1939071
115504000,0.16,0.1939039
116004000,0.16,0.19390094
116504000,0.18,0.19388755
117004000,0.15686275,0.19388533
117504000,0.16,0.19388066
118004000,0.16,0.19388546
118504000,0.15686275,0.19388865
119004000,0.16666667,0.19387046
119504000,0.1764706,0.19387415
120004000,0.14,0.19386972
120504000,0.16,0.1938669
121004000,0.14,0.19384243
121504000,0.18,0.19383603
122004000,0.15686275,0.19383295
122504000,0.18367347,0.19383714
123004000,0.15384616,0.19383419
123504000,0.15686275,0.1938289
124004000,0.14285715,0.19384132
124504000,0.16,0.1938455
125004000,0.16,0.19384378
125504000,0.16,0.19384587
126004000,0.15686275,0.19381845
126504000,0.1632653,0.19382213
127004000,0.16,0.19381906
127504000,0.1632653,0.19383025
128004000,0.18,0.19381894
128504000,0.15384616,0.19381513
129004000,0.16,0.19381255
129504000,0.15686275,0.19380751
130004000,0.1632653,0.19380333
130504000,0.16,0.19379963
131004000,0.16,0.19380505
131504000,0.15686275,0.1938155
132004000,0.18,0.19381168
132504000,0.16,0.1938085
133004000,0.16,0.19382103
133504000,0.14,0.19382386
134004000,0.18,0.19382754
134504000,0.1764706,0.19383332
135004000,0.15686275,0.19384636
135504000,0.16,0.19385643
136004000,0.1632653,0.19385226
136504000,0.13725491,0.19385657
137004000,0.1764706,0.19385214
137504000,0.1632653,0.19384243
138004000,0.13725491,0.19383702
138504000,0.1632653,0.19383505
139004000,0.15686275,0.19383788
139504000,0.18,0.19384365
140004000,0.18,0.19383824
140504000,0.16,0.19384329
141004000,0.1764706,0.19384587
141504000,0.1632653,0.1938444
142004000,0.15686275,0.19383086
142504000,0.18,0.1938284
143004000,0.14,0.1938546
143504000,0.16,0.19385177
144004000,0.14,0.19387034
144504000,0.16,0.19388399
145004000,0.18,0.1939082
145504000,0.16,0.19390525
146004000,0.18,0.19390045
146504000,0.15686275,0.19390562
147004000,0.16,0.19390082
147504000,0.18367347,0.19390574
148004000,0.18,0.19390759
148504000,0.13725491,0.19391263
149004000,0.16,0.19389307
149504000,0.15384616,0.19388226
150004000,0.1632653,0.19388582
150504000,0.18,0.19388324
151004000,0.15686275,0.19388607
151504000,0.1632653,0.19387722
152004000,0.15686275,0.19386332
152504000,0.16,0.19386074
153004000,0.1764706,0.19386357
153504000,0.16666667,0.19386923
154004000,0.16,0.19386381
154504000,0.17307693,0.19386135
155004000,0.14,0.1938568
155504000,0.1632653,0.1938546
156004000,0.18367347,0.19382583
156504000,0.15384616,0.19382349
157004000,0.16,0.19384968
157504000,0.16,0.19385545
158004000,0.15686275,0.1938487
158504000,0.1875,0.1938461
159004000,0.15384616,0.19384181
159504000,0.16,0.19384697
160004000,0.18367347,0.19384992
160504000,0.16,0.19383775
161004000,0.16,0.19384243
161504000,0.18,0.19384009
162004000,0.13725491,0.19383505
162504000,0.16,0.19384821
163008000,0.1764706,0.19382042
163504000,0.16,0.19381759
164004000,0.1632653,0.19382828
164504000,0.1632653,0.19383357
165004000,0.18,0.193852
165504000,0.15384616,0.19385102
166004000,0.1632653,0.1938616
166504000,0.15686275,0.19385226
167004000,0.1632653,0.19385447
167504000,0.15686275,0.19384427
168004000,0.18,0.19385484
168504000,0.14285715,0.1938514
169004000,0.15686275,0.1938627
169504000,0.18,0.19386074
170004000,0.13725491,0.19387968
170504000,0.18,0.19389209
171004000,0.16,0.1938873
171504000,0.16,0.19388607
172004000,0.18,0.19388078
172504000,0.16666667,0.1938782
173004000,0.15686275,0.19388914
173504000,0.15686275,0.19390279
174004000,0.18,0.1939055
174504000,0.14,0.19390205
175004000,0.1632653,0.19389738
175504000,0.17307693,0.1938873
176004000,0.14,0.19387402
176504000,0.16,0.19387095
177004000,0.1632653,0.19388251
177504000,0.1764706,0.19387956
178004000,0.16,0.19385988
178504000,0.18,0.19387415
179004000,0.16,0.19389234
179504000,0.16,0.19389689
180004000,0.18,0.19389258
180504000,0.14285715,0.1938873
181004000,0.15384616,0.1938841
181504000,0.15686275,0.19388914
182004000,0.1632653,0.1938916
182504000,0.15686275,0.19386591
183004000,0.18,0.19386837
183504000,0.16,0.19387352
184004000,0.15384616,0.19386135
184504000,0.1875,0.19385938
185004000,0.15686275,0.1938546
185504000,0.1632653,0.19386025
186004000,0.18,0.19388582
186504000,0.15686275,0.19388448
187004000,0.13725491,0.19390132
187504000,0.18367347,0.19390698
188008000,0.16,0.19389406
188504000,0.1764706,0.19389185
189004000,0.11764706,0.19389467
189504000,0.20408164,0.19390045
190004000,0.16666667,0.19387992
190504000,0.17307693,0.19388533
191004000,0.1632653,0.19388029
191504000,0.1764706,0.19388472
192004000,0.16,0.1938948
192504000,0.15686275,0.19390045
193004000,0.1632653,0.1938959
193504000,0.15686275,0.19389333
194004000,0.16,0.19388853
194504000,0.1632653,0.19389333
195004000,0.16,0.19388877
195504000,0.14,0.19389504
196004000,0.1764706,0.19388926
196504000,0.1632653,0.1938932
197004000,0.1764706,0.19388926
197504000,0.1632653,0.1938873
198004000,0.18,0.19388963
198504000,0.16,0.19389504
199004000,0.15686275,0.19389799
199504000,0.16,0.19389455
200004000,0.15686275,0.19389012
200504000,0.18,0.19388743
201004000,0.16,0.19389787
201504000,0.16,0.19389455
202004000,0.16,0.19388238
202504000,0.1632653,0.19387992
203004000,0.15686275,0.19388188
203504000,0.17307693,0.19388656
204004000,0.16666667,0.19388275
204504000,0.1764706,0.19385669
205004000,0.13725491,0.19385828
205504000,0.1632653,0.19385521
206004000,0.16,0.19385177
206504000,0.1632653,0.19385041
207004000,0.15686275,0.19383578
207504000,0.1632653,0.19383295
208004000,0.18,0.1938364
208504000,0.13725491,0.19383381
209004000,0.16,0.1938369
209504000,0.1764706,0.19384156
210004000,0.15686275,0.19384624
210504000,0.18367347,0.1938514
211004000,0.1632653,0.19386172
211504000,0.14,0.19385853
212004000,0.15686275,0.19386233
212504000,0.16,0.19386001
213004000,0.15384616,0.19387057
213504000,0.16666667,0.19387586
214004000,0.13725491,0.19386233
214504000,0.14,0.19386774
215004000,0.1632653,0.19387083
215504000,0.13461539,0.19388422
216004000,0.18,0.1938868
216504000,0.14285715,0.1938616
217004000,0.1764706,0.19385755
217504000,0.15686275,0.19387034
218004000,0.16,0.1938573
218504000,0.15686275,0.19383124
219004000,0.18,0.1938343
219504000,0.14,0.19383271
220004000,0.16,0.19385004
220504000,0.15686275,0.19384697
221004000,0.16,0.19385828
221504000,0.16,0.1938557
222004000,0.16,0.19385177
222504000,0.15686275,0.19385643
