timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
39320000,39240000,1.5703181,0.013856862,1.9160165,0.5806301,1.4580331,1.5604411,1.6282605,0.51521933,0.59322155,0.3813169,0.3968593,0.40949225,-0.44641808,0.5781676,-0.07749511,-0.16583505,-0.2209,7.6867385e-05,7.6867385e-05,0.0025243214,0.8472722,0.15004973
40320000,40240000,1.5712268,0.013455529,1.9094979,0.59989935,1.4612774,1.5614611,1.6276902,0.38707954,-0.50975686,0.33814532,0.37552,0.39028102,0.24809809,-1.3463441,-0.4111207,-0.26715273,-0.16749021,8.0317215e-05,7.8170895e-05,0.0024512508,0.84562063,0.15176958
41320000,41240000,1.578083,0.012390921,1.8907893,0.66444147,1.4757121,1.5687047,1.6297146,-0.004908085,-1.0584033,-0.02867496,0.009739041,0.02327609,0.40905005,-1.7759742,-0.46165314,-0.26896256,-0.13802089,7.492775e-05,7.396906e-05,0.002173392,0.84003675,0.15764089
42320000,42240000,1.5868601,0.011742208,1.8783344,0.71885943,1.4906346,1.5777884,1.6345236,-0.48765182,-0.8901649,-0.53628933,-0.5170349,-0.5080975,-0.0062379874,-0.61444956,-0.25114065,-0.19804056,-0.16133167,8.0709025e-05,8.0709025e-05,0.001940964,0.83432406,0.16357356
43320000,43240000,1.5880265,0.011693932,1.8780444,0.7234832,1.4922968,1.5790217,1.6354765,-0.43144438,-0.2709265,-0.51869154,-0.51179457,-0.50414133,-0.43537474,0.6299382,-0.05924341,-0.14654446,-0.20256749,8.032417e-05,8.032417e-05,0.0019441654,0.83470756,0.16318767
44320000,44240000,1.5828179,0.010548687,1.8492128,0.78835547,1.4958991,1.5748825,1.6264311,0.041771173,0.5228112,-0.06759071,-0.06756234,-0.060502052,-0.7059192,1.4323066,0.059331346,-0.115158424,-0.22911859,7.255507e-05,7.255507e-05,0.0019845068,0.84023994,0.15763047
45320000,45240000,1.577314,0.010128904,1.8313576,0.81990117,1.4950478,1.5699478,1.6189281,0.39300215,0.5944588,0.3103652,0.3154143,0.3223741,-0.4910335,0.80178875,-0.03978172,-0.14261158,-0.20966908,7.49392e-05,7.49392e-05,0.002022904,0.84366477,0.15416247
46320000,46240000,1.573422,0.010168338,1.8264184,0.8204622,1.4917235,1.5661591,1.6148986,0.4928869,0.26175702,0.4373358,0.4518071,0.4602247,-0.15942247,-0.31238636,-0.2323594,-0.21765275,-0.20706698,7.876628e-05,8.168588e-05,0.0020527877,0.84488666,0.15290007
47320000,47240000,1.5788246,0.009604387,1.8185347,0.85904497,1.5009896,1.5717288,1.6178396,0.120206356,-0.5737739,0.086594224,0.11203003,0.12280285,0.24901834,-1.464555,-0.3867602,-0.24627945,-0.15257323,8.0991056e-05,7.366156e-05,0.0018946618,0.84051424,0.1574364
48320000,48240000,1.5872349,0.00907657,1.809792,0.90990895,1.5144335,1.5804027,1.6231288,-0.4582548,-0.856486,-0.49403214,-0.47752786,-0.46967673,0.03802672,-0.85943526,-0.29234236,-0.21945369,-0.17102073,8.382441e-05,7.9786536e-05,0.0017081436,0.8348467,0.16328153
