timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
32312000,32194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
33512000,33394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
34312000,34194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
35512000,35394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
36312000,36190000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
37512000,37394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
38312000,38194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
39512000,39394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
40312000,40194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
41512000,41394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
42312000,42194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
43512000,43394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
44312000,44194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
45512000,45398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
46320000,46198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
47520000,47398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
48320000,48198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
49520000,49398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
50320000,50194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
51512000,51398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
52320000,52198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
53512000,53398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
54320000,54198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
55520000,55398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
56320000,56194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
57520000,57398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
58320000,58198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
59520000,59398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
60320000,60198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
61520000,61398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
62312000,62194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
63520000,63398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
64320000,64198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
65520000,65398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
66320000,66198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
67520000,67398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
68320000,68198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
69512000,69398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
70320000,70198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
71512000,71398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
72320000,72198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
73520000,73398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
74320000,74198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
75520000,75398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
76320000,76198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
77512000,77398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
78312000,78194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
79520000,79398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
80320000,80198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
81520000,81398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
82320000,82198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
83520000,83398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
84320000,84198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
85520000,85398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
86320000,86198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
87520000,87398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
88320000,88198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
89520000,89398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
90320000,90198000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
91520000,91398000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
