timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
15024000,14944000,7.722151e-05,0.0002654981,0.0006925639,1049239,0,0.34017903,0.2624906,0.00073096063,0.011514216,0.0021762787,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
15216000,15136000,0.0005678537,0.0035639526,0.0052597965,1049239,0,0.33930856,0.2678839,0.020525688,0.02733682,0.005356999,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
15424000,15344000,0.00016343665,0.0014502177,0.0026026028,1049239,0,0.355911,0.27574432,0.002034303,0.02733682,0.005356999,0.008523577,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
15624000,15544000,0.0005331029,0.0046922443,0.007830916,1049239,0,0.3547543,0.28251356,0.041805495,0.03257567,0.0054676337,0.0023205115,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
15824000,15744000,0.00016299178,0.0015991675,0.003180755,1049239,0,0.37382722,0.29260966,0.022407435,0.03257567,0.0054676337,0.0027997075,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
16016000,15936000,0.0004933326,0.00426859,0.008163545,663,0,0.36991346,0.29932943,0.00536475,0.017809704,0.007869604,0.00059774023,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
16216000,16136000,0.00056220195,0.0014040439,0.0035608923,663,0,0.3913751,0.3096901,0.029580565,0.017809704,0.007869604,0.007880992,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
16416000,16336000,0.00027367385,0.004821587,0.009675573,663,0,0.3856322,0.31689623,0.0024332616,0.028568104,0.007914425,0.003086319,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
16624000,16544000,0.00048430398,0.0011313804,0.003508486,663,0,0.40996784,0.3287166,0.025420964,0.028568104,0.007914425,0.0027882624,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
16824000,16744000,0.0005472456,0.0049476284,0.010286985,663,0,0.40123597,0.33539745,0.021058667,0.022203099,0.008821565,0.0003575961,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
