timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
75516000,75516000,1310988,-0.13741912,-0.0058589545,0.0015978967,11.795435,0,1
76516000,76516000,1310988,-0.23169503,-0.006924219,0.0005326322,11.795435,0,1
77516000,77516000,1310988,-0.0777643,0.0010652645,0.0015978967,11.795313,0,1
78516000,78516000,1310988,0.10173275,-0.016511599,-0.0010652645,11.795069,0,1
79516000,79516000,1310988,0.21944448,-0.010120012,0.0010652645,11.794947,0,1
80516000,80516000,1310988,0.11771172,-0.004261058,0.0,11.794855,0,1
81516000,81516000,1310988,-0.08522116,0.0010652645,0.00479369,11.794733,0,1
82516000,82516000,1310988,-0.22050974,0.0058589545,-0.0026631611,11.794703,0,1
83516000,83516000,1310988,-0.13582122,0.0010652645,-0.0015978967,11.794611,0,1
84516000,84516000,1310988,0.049534798,-0.00958738,-0.0010652645,11.794458,0,1
85516000,85516000,1310988,0.21731395,-0.011717909,-0.0005326322,11.794458,0,1
86516000,86516000,1310988,0.17310548,-0.018109497,0.0015978967,11.79455,0,1
87516000,87516000,1310988,-0.029294772,-0.002130529,0.0037284256,11.794489,0,1
88516000,88516000,1310988,-0.20719394,0.0015978967,-0.002130529,11.79455,0,1
89516000,89516000,1310988,-0.16884442,0.0005326322,0.0031957934,11.79455,0,1
90516000,90516000,1310988,-0.026631612,-0.011717909,-0.0005326322,11.794489,0,1
91516000,91516000,1310988,0.18961707,-0.010652645,-0.0015978967,11.79455,0,1
92516000,92516000,1310988,0.19228023,-0.010120012,0.0026631611,11.794794,0,1
93516000,93516000,1310988,0.020240024,-0.007456851,0.002130529,11.795008,0,1
94516000,94516000,1310988,-0.16884442,0.002130529,-0.0037284256,11.79513,0,1
95516000,95516000,1310988,-0.1965413,0.0005326322,-0.0005326322,11.795252,0,1
96516000,96516000,1310988,-0.05219796,-0.0031957934,0.0005326322,11.795221,0,1
97516000,97516000,1310988,0.13528858,-0.010120012,-0.002130529,11.795252,0,1
98516000,98516000,1310988,0.21997711,-0.011717909,-0.0026631611,11.795465,0,1
99516000,99516000,1310988,0.077231675,-0.010120012,0.002130529,11.795465,0,1
100516000,100516000,1310988,-0.11717909,-0.002130529,-0.0015978967,11.795435,0,1
101516000,101516000,1310988,-0.22530343,0.019707393,0.0005326322,11.795557,0,1
102516000,102516000,1310988,-0.108124346,-0.004261058,-0.0015978967,11.795588,0,1
103516000,103516000,1310988,0.08681905,0.0015978967,-0.0015978967,11.7955265,0,1
104516000,104516000,1310988,0.20772657,-0.017044231,-0.0015978967,11.795618,0,1
105516000,105516000,1310988,0.15126756,-0.007989483,0.0010652645,11.795679,0,1
106516000,106516000,1310988,-0.060720075,-0.007456851,0.002130529,11.795435,0,1
107516000,107516000,1310988,-0.2130529,0.00958738,0.0015978967,11.795404,0,1
108516000,108516000,1310988,-0.15819177,0.0,0.0015978967,11.795282,0,1
109516000,109516000,1310988,0.02130529,0.0005326322,0.0,11.79516,0,1
110516000,110516000,1310988,0.20879184,0.0,-0.0026631611,11.795252,0,1
111516000,111516000,1310988,0.16298546,-0.00958738,0.0,11.79516,0,1
112516000,112516000,1310988,0.006924219,0.0031957934,0.0037284256,11.794886,0,1
113516000,113516000,1310988,-0.18642128,-0.0026631611,0.002130529,11.794703,0,1
114516000,114516000,1310988,-0.19707392,0.004261058,-0.0005326322,11.794611,0,1
115516000,115516000,1310988,-0.03355583,-0.002130529,-0.002130529,11.794519,0,1
116516000,116516000,1310988,0.16085494,-0.0127831735,0.0015978967,11.79458,0,1
117516000,117516000,1310988,0.18748654,-0.00958738,-0.0005326322,11.794855,0,1
118516000,118516000,1310988,0.05539375,-0.0010652645,0.0010652645,11.794947,0,1
119516000,119516000,1310988,-0.14753912,0.0,0.0015978967,11.794977,0,1
120516000,120516000,1310988,-0.21358553,0.002130529,-0.0026631611,11.79513,0,1
121516000,121516000,1310988,-0.08149273,-0.0037284256,0.0031957934,11.795221,0,1
122516000,122516000,1310988,0.10918961,-0.011717909,-0.0015978967,11.795221,0,1
123516000,123516000,1310988,0.22530343,-0.010120012,-0.0005326322,11.7955265,0,1
124516000,124516000,1310988,0.11558119,-0.014913702,0.0015978967,11.795771,0,1
125516000,125516000,1310988,-0.092145376,0.002130529,0.0015978967,11.795801,0,1
126516000,126516000,1310988,-0.21891184,-0.0063915867,0.0015978967,11.795832,0,1
127516000,127516000,1310988,-0.12996227,0.002130529,0.0015978967,11.795801,0,1
