timestamp,speed_up,speed_down,want_takeoff
185784000,3.0,1.0,0
186784000,3.0,1.0,0
187784000,3.0,1.0,0
188784000,3.0,1.0,0
189784000,3.0,1.0,0
190788000,3.0,1.0,0
191784000,3.0,1.0,0
192784000,3.0,1.0,0
193784000,3.0,1.0,0
194784000,3.0,1.0,0
195784000,3.0,1.0,0
196784000,3.0,1.0,0
197784000,3.0,1.0,0
198784000,3.0,1.0,0
199784000,3.0,1.0,0
200808000,3.0,1.0,0
201784000,3.0,1.0,0
202784000,3.0,1.0,0
203784000,3.0,1.0,0
204784000,3.0,1.0,0
205784000,3.0,1.0,0
206784000,3.0,1.0,0
207808000,3.0,1.0,0
208784000,3.0,1.0,0
209784000,3.0,1.0,0
210784000,3.0,1.0,0
211784000,3.0,1.0,0
212808000,3.0,1.0,0
213784000,3.0,1.0,0
214784000,3.0,1.0,0
215808000,3.0,1.0,0
216784000,3.0,1.0,0
217784000,3.0,1.0,0
218784000,3.0,1.0,0
219804000,3.0,1.0,0
220804000,3.0,1.0,0
221804000,3.0,1.0,0
222804000,3.0,1.0,0
