timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
39128000,39128000,0.7,2.5914937e-06,-0.07817389,1.0005184,0.0006786656,1.0,1
39224000,39224000,0.7,2.5854374e-06,-0.1214943,1.0005136,0.0016392544,1.0,1
39328000,39328000,0.7,2.579025e-06,-0.11151633,1.0005116,0.0013810591,1.0,1
39424000,39424000,0.7,2.573178e-06,-0.09040673,1.0005108,0.00090768933,1.0,1
39520000,39520000,0.7,2.5674012e-06,-0.07796581,1.0005088,0.000675064,1.0,1
39624000,39624000,0.7,2.5613265e-06,-0.0044730753,1.0005033,2.2220374e-06,1.0,1
39720000,39720000,0.7,2.5558813e-06,-0.011735944,1.0005006,1.529594e-05,1.0,1
39824000,39824000,0.7,2.550088e-06,-0.024396721,1.0004988,6.6100365e-05,1.0,1
39920000,39920000,0.69999796,2.5448178e-06,0.023145743,1.0004972,5.949546e-05,1.0,1
40024000,40024000,0.69998884,2.539284e-06,0.03805382,1.0004916,0.00016082019,1.0,1
40120000,40120000,0.7,2.5342965e-06,-0.011579394,1.0004907,1.4890737e-05,1.0,1
40224000,40224000,0.7,2.5289296e-06,-0.0027917065,1.0004911,8.655332e-07,1.0,1
40320000,40320000,0.69999975,2.5239808e-06,-0.014807243,1.0004916,2.4349634e-05,1.0,1
40424000,40424000,0.7,2.5186957e-06,-0.021239169,1.0004895,5.009796e-05,1.0,1
40520000,40520000,0.7,2.5138638e-06,-0.07062885,1.0004902,0.000553999,1.0,1
40624000,40624000,0.7,2.508612e-06,-0.042770144,1.0004921,0.00020315393,1.0,1
40720000,40720000,0.7,2.5037486e-06,-0.046172407,1.0004928,0.00023676011,1.0,1
40824000,40824000,0.7,2.498568e-06,-0.07732945,1.0004901,0.0006641016,1.0,1
40920000,40920000,0.7,2.4938502e-06,-0.117127255,1.0004901,0.0015235638,1.0,1
41024000,41024000,0.7,2.488732e-06,-0.12827192,1.000492,0.0018272882,1.0,1
41120000,41120000,0.7,2.4839653e-06,-0.08269501,1.0004942,0.00075945404,1.0,1
41224000,41224000,0.7,2.478883e-06,-0.11054496,1.0004905,0.0013571329,1.0,1
41320000,41320000,0.7,2.4742587e-06,-0.14454988,1.000491,0.0023204903,1.0,1
41424000,41424000,0.7,2.4692322e-06,-0.15762034,1.0004929,0.0027591034,1.0,1
41520000,41520000,0.7,2.4645694e-06,-0.08694388,1.000494,0.00083950063,1.0,1
41624000,41624000,0.7,2.4596263e-06,-0.11209455,1.0004901,0.0013954481,1.0,1
41720000,41720000,0.7,2.4551405e-06,-0.10979234,1.0004896,0.0013387176,1.0,1
41824000,41824000,0.7,2.4502976e-06,-0.14676508,1.0004911,0.0023921572,1.0,1
41920000,41920000,0.7,2.4458013e-06,-0.12475342,1.0004922,0.0017284177,1.0,1
42024000,42024000,0.7,2.4409783e-06,-0.17640722,1.0004909,0.0034560263,1.0,1
42128000,42128000,0.7,2.4361998e-06,-0.17622107,1.0004913,0.0034487355,1.0,1
42224000,42224000,0.7,2.4317942e-06,-0.1326546,1.000492,0.001954288,1.0,1
42320000,42320000,0.7,2.4274002e-06,-0.12364885,1.0004919,0.0016979468,1.0,1
42424000,42424000,0.7,2.422756e-06,-0.12159852,1.0004878,0.00164211,1.0,1
42528000,42528000,0.7,2.418218e-06,-0.12259037,1.0004865,0.0016690101,1.0,1
42624000,42624000,0.7,2.4140904e-06,-0.069467634,1.0004852,0.00053593464,1.0,1
42720000,42720000,0.7,2.4100225e-06,-0.040913813,1.0004835,0.00018590345,1.0,1
42824000,42824000,0.7,2.4057933e-06,-0.07781756,1.000477,0.00067252066,1.0,1
42920000,42920000,0.7,2.4020264e-06,-0.032817878,1.0004746,0.00011961135,1.0,1
43024000,43024000,0.7,2.3980258e-06,-0.018247634,1.0004734,3.6979844e-05,1.0,1
