timestamp,imbalanced_prop_metric,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_high_wind,fd_battery,fd_imbalanced_prop
123200000,0.003008333,0,0,0,0,0,0,0,0
123704000,0.0037102445,0,0,0,0,0,0,0,0
124208000,0.0023913772,0,0,0,0,0,0,0,0
124712000,0.00084379985,0,0,0,0,0,0,0,0
125216000,-0.000814617,0,0,0,0,0,0,0,0
125720000,-0.002014338,0,0,0,0,0,0,0,0
126224000,0.0016856862,0,0,0,0,0,0,0,0
126728000,0.0017982721,0,0,0,0,0,0,0,0
127232000,-0.00082839,0,0,0,0,0,0,0,0
127736000,-0.0024085464,0,0,0,0,0,0,0,0
128240000,-0.001640828,0,0,0,0,0,0,0,0
128744000,0.00024329375,0,0,0,0,0,0,0,0
129248000,0.0011090758,0,0,0,0,0,0,0,0
129752000,0.002982268,0,0,0,0,0,0,0,0
130256000,-0.00016130123,0,0,0,0,0,0,0,0
130760000,-0.00089430006,0,0,0,0,0,0,0,0
131264000,0.00092849566,0,0,0,0,0,0,0,0
131768000,0.0037650643,0,0,0,0,0,0,0,0
132272000,0.003048239,0,0,0,0,0,0,0,0
132780000,0.0038903996,0,0,0,0,0,0,0,0
133284000,0.0010249774,0,0,0,0,0,0,0,0
133788000,0.00044345562,0,0,0,0,0,0,0,0
134292000,-0.0011143524,0,0,0,0,0,0,0,0
134800000,-0.0013518828,0,0,0,0,0,0,0,0
135304000,-0.0026783936,0,0,0,0,0,0,0,0
135808000,0.00056036323,0,0,0,0,0,0,0,0
136312000,0.0035119723,0,0,0,0,0,0,0,0
136816000,0.0012470613,0,0,0,0,0,0,0,0
137320000,0.000808598,0,0,0,0,0,0,0,0
137824000,0.00081308227,0,0,0,0,0,0,0,0
138328000,0.00011284289,0,0,0,0,0,0,0,0
138832000,0.001398551,0,0,0,0,0,0,0,0
139340000,0.00048314853,0,0,0,0,0,0,0,0
139844000,-7.015921e-05,0,0,0,0,0,0,0,0
140348000,0.00053636957,0,0,0,0,0,0,0,0
140852000,0.0005162576,0,0,0,0,0,0,0,0
141356000,-0.0007068624,0,0,0,0,0,0,0,0
141860000,0.0014847972,0,0,0,0,0,0,0,0
142364000,0.0018316874,0,0,0,0,0,0,0,0
142868000,-0.00048024696,0,0,0,0,0,0,0,0
143372000,-0.00020538783,0,0,0,0,0,0,0,0
143876000,-0.002825193,0,0,0,0,0,0,0,0
144380000,-0.0015668325,0,0,0,0,0,0,0,0
144884000,0.0016798326,0,0,0,0,0,0,0,0
145388000,0.0028534033,0,0,0,0,0,0,0,0
145892000,0.002568481,0,0,0,0,0,0,0,0
146396000,0.00033203792,0,0,0,0,0,0,0,0
146900000,0.000710932,0,0,0,0,0,0,0,0
147404000,0.0010618748,0,0,0,0,0,0,0,0
147908000,0.0018839682,0,0,0,0,0,0,0,0
148412000,0.004526361,0,0,0,0,0,0,0,0
148916000,0.001966737,0,0,0,0,0,0,0,0
149420000,0.0006326183,0,0,0,0,0,0,0,0
149924000,0.0011492367,0,0,0,0,0,0,0,0
150428000,-0.0013185586,0,0,0,0,0,0,0,0
150932000,-0.0001915649,0,0,0,0,0,0,0,0
151436000,0.0008691637,0,0,0,0,0,0,0,0
151940000,0.0024189912,0,0,0,0,0,0,0,0
152444000,0.00436987,0,0,0,0,0,0,0,0
152948000,0.00031420717,0,0,0,0,0,0,0,0
153456000,0.0020632353,0,0,0,0,0,0,0,0
153960000,0.001765733,0,0,0,0,0,0,0,0
154464000,0.0021308141,0,0,0,0,0,0,0,0
154968000,0.0025276723,0,0,0,0,0,0,0,0
155472000,0.0026099551,0,0,0,0,0,0,0,0
155976000,0.0029900135,0,0,0,0,0,0,0,0
156480000,-4.273132e-05,0,0,0,0,0,0,0,0
156984000,0.00092141086,0,0,0,0,0,0,0,0
157488000,0.002760524,0,0,0,0,0,0,0,0
157992000,0.0021847019,0,0,0,0,0,0,0,0
158496000,0.0013790784,0,0,0,0,0,0,0,0
159000000,0.00019942765,0,0,0,0,0,0,0,0
159504000,-0.0012214703,0,0,0,0,0,0,0,0
160008000,0.0013326238,0,0,0,0,0,0,0,0
160516000,0.0018434157,0,0,0,0,0,0,0,0
161020000,0.0034951891,0,0,0,0,0,0,0,0
161528000,0.0028267584,0,0,0,0,0,0,0,0
162032000,0.0021790129,0,0,0,0,0,0,0,0
162536000,0.00020732067,0,0,0,0,0,0,0,0
163040000,0.0006027978,0,0,0,0,0,0,0,0
163544000,0.0010287166,0,0,0,0,0,0,0,0
164048000,0.0038799557,0,0,0,0,0,0,0,0
164552000,0.0022148248,0,0,0,0,0,0,0,0
165056000,0.0014448282,0,0,0,0,0,0,0,0
165560000,-0.0025868032,0,0,0,0,0,0,0,0
166064000,-0.00071861397,0,0,0,0,0,0,0,0
166568000,-2.3806759e-05,0,0,0,0,0,0,0,0
167072000,0.0010746077,0,0,0,0,0,0,0,0
167576000,0.0028185188,0,0,0,0,0,0,0,0
168080000,0.0014387337,0,0,0,0,0,0,0,0
168584000,0.0009991183,0,0,0,0,0,0,0,0
169088000,0.00022225495,0,0,0,0,0,0,0,0
169592000,0.001553864,0,0,0,0,0,0,0,0
170096000,0.0027858422,0,0,0,0,0,0,0,0
170600000,0.001459246,0,0,0,0,0,0,0,0
171108000,-0.0008617244,0,0,0,0,0,0,0,0
171612000,0.00043622297,0,0,0,0,0,0,0,0
172116000,-0.00039589166,0,0,0,0,0,0,0,0
172620000,0.00015859076,0,0,0,0,0,0,0,0
173124000,0.0024776638,0,0,0,0,0,0,0,0
173628000,0.0023145308,0,0,0,0,0,0,0,0
174132000,0.0020772098,0,0,0,0,0,0,0,0
174636000,0.00018171075,0,0,0,0,0,0,0,0
175140000,-0.0010387084,0,0,0,0,0,0,0,0
175644000,0.0005566452,0,0,0,0,0,0,0,0
176148000,0.0015781908,0,0,0,0,0,0,0,0
176652000,-0.00013605948,0,0,0,0,0,0,0,0
177156000,0.00013094285,0,0,0,0,0,0,0,0
177660000,0.002014042,0,0,0,0,0,0,0,0
178164000,0.0022722995,0,0,0,0,0,0,0,0
178668000,0.00027816946,0,0,0,0,0,0,0,0
179172000,-0.0007706781,0,0,0,0,0,0,0,0
179676000,0.0020180019,0,0,0,0,0,0,0,0
180180000,0.001081249,0,0,0,0,0,0,0,0
180684000,0.0023801308,0,0,0,0,0,0,0,0
181188000,0.00016149651,0,0,0,0,0,0,0,0
181692000,-0.001964954,0,0,0,0,0,0,0,0
182196000,0.0011099258,0,0,0,0,0,0,0,0
182700000,0.002051611,0,0,0,0,0,0,0,0
183204000,0.0025050764,0,0,0,0,0,0,0,0
183708000,0.0009917927,0,0,0,0,0,0,0,0
184212000,0.0016107258,0,0,0,0,0,0,0,0
184716000,0.001048947,0,0,0,0,0,0,0,0
185220000,0.0003200096,0,0,0,0,0,0,0,0
185724000,0.0024008406,0,0,0,0,0,0,0,0
186228000,0.0032667657,0,0,0,0,0,0,0,0
186732000,0.0020558012,0,0,0,0,0,0,0,0
187236000,0.0022405526,0,0,0,0,0,0,0,0
187740000,0.0019565444,0,0,0,0,0,0,0,0
188244000,0.0008868446,0,0,0,0,0,0,0,0
188748000,0.00074113515,0,0,0,0,0,0,0,0
189248000,0.0049018133,0,0,0,0,0,0,0,0
189752000,0.0046420926,0,0,0,0,0,0,0,0
190256000,0.0025381218,0,0,0,0,0,0,0,0
190760000,-0.0017535535,0,0,0,0,0,0,0,0
191264000,0.00043025007,0,0,0,0,0,0,0,0
191768000,0.0031021866,0,0,0,0,0,0,0,0
192272000,0.0050318534,0,0,0,0,0,0,0,0
192776000,0.0032581957,0,0,0,0,0,0,0,0
193280000,0.0017206909,0,0,0,0,0,0,0,0
193784000,0.0013482397,0,0,0,0,0,0,0,0
194288000,-0.0009079284,0,0,0,0,0,0,0,0
194792000,-0.0017770852,0,0,0,0,0,0,0,0
195296000,0.0012689631,0,0,0,0,0,0,0,0
195800000,0.0015154525,0,0,0,0,0,0,0,0
196304000,0.0014757129,0,0,0,0,0,0,0,0
196808000,-0.001997523,0,0,0,0,0,0,0,0
197312000,-0.0005917032,0,0,0,0,0,0,0,0
197816000,-0.0016739087,0,0,0,0,0,0,0,0
198320000,0.0015917309,0,0,0,0,0,0,0,0
198824000,0.0011117192,0,0,0,0,0,0,0,0
199328000,0.0016179524,0,0,0,0,0,0,0,0
199832000,0.001840075,0,0,0,0,0,0,0,0
200336000,0.00034347773,0,0,0,0,0,0,0,0
200840000,-5.9858074e-05,0,0,0,0,0,0,0,0
201344000,-0.00048837974,0,0,0,0,0,0,0,0
201848000,0.002767141,0,0,0,0,0,0,0,0
202352000,0.0025889107,0,0,0,0,0,0,0,0
