timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
55864000,1310988,1310988,1310996,1311004,0,0.0038722325,0.0035975822,0.003162988,0.0,1310988,1310988,1310996,1311004,0,0.00059442664,0.00036875522,0.00035131522,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
56068000,1310988,1310988,1310996,1311004,0,0.001861235,0.0019521944,0.0015428576,0.0,1310988,1310988,1310996,1311004,0,0.00048992987,0.00023147892,0.000258907,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
56268000,1310988,1310988,1310996,1311004,0,0.0020987375,0.0011366528,0.0014547223,0.0,1310988,1310988,1310996,1311004,0,0.0005067898,0.00021543665,0.0002961665,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
56468000,1310988,1310988,1310996,1311004,0,0.0022560733,0.001299283,0.0016610378,0.0,1310988,1310988,1310996,1311004,0,0.0005096303,0.00024998133,0.00026007346,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
56668000,1310988,1310988,1310996,1311004,0,0.0029182562,0.0012622601,0.0019676303,0.0,1310988,1310988,1310996,1311004,0,0.0005025728,0.0003093439,0.00034478074,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
56868000,1310988,1310988,1310996,1311004,0,0.0017035045,0.0011798129,0.0011595909,0.0,1310988,1310988,1310996,1311004,0,0.000403916,0.00020514858,0.0002811223,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
57068000,1310988,1310988,1310996,1311004,0,0.0022057784,0.0023199515,0.0011425883,0.0,1310988,1310988,1310996,1311004,0,0.000547342,0.00037308087,0.00034739883,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
57264000,1310988,1310988,1310996,1311004,0,0.0029461253,0.001118571,0.0018800031,0.0,1310988,1310988,1310996,1311004,0,0.0004425267,0.00033527848,0.00021870296,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
57468000,1310988,1310988,1310996,1311004,0,0.0027763296,0.0014757336,0.0025450073,0.0,1310988,1310988,1310996,1311004,0,0.00046332148,0.0003105089,0.00015630691,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
57668000,1310988,1310988,1310996,1311004,0,0.0026009153,0.0013674974,0.0012876884,0.0,1310988,1310988,1310996,1311004,0,0.00054359424,0.00028711386,0.0002588527,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
57868000,1310988,1310988,1310996,1311004,0,0.002597085,0.0029762695,0.003184512,0.0,1310988,1310988,1310996,1311004,0,0.00052633166,0.00044259286,0.00011157665,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
58068000,1310988,1310988,1310996,1311004,0,0.002705852,0.0022977416,0.001585859,0.0,1310988,1310988,1310996,1311004,0,0.00056405074,0.00032684937,0.00026287744,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
58268000,1310988,1310988,1310996,1311004,0,0.0030792102,0.0017745149,0.0016074557,0.0,1310988,1310988,1310996,1311004,0,0.00066436,0.0002874755,0.00038183466,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
58468000,1310988,1310988,1310996,1311004,0,0.0028171723,0.002351625,0.00082321995,0.0,1310988,1310988,1310996,1311004,0,0.00070105284,0.00042021478,0.0003078324,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
58668000,1310988,1310988,1310996,1311004,0,0.0022543052,0.0026313406,0.0020450037,0.0,1310988,1310988,1310996,1311004,0,0.0005884249,0.000101095524,0.00058026065,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
58868000,1310988,1310988,1310996,1311004,0,0.003449481,0.001812542,0.0020295517,0.0,1310988,1310988,1310996,1311004,0,0.00045775608,0.00029897693,0.00022854567,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
59068000,1310988,1310988,1310996,1311004,0,0.0029585229,0.0020956888,0.00209191,0.0,1310988,1310988,1310996,1311004,0,0.00052796915,0.00012380655,0.0004137226,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
59268000,1310988,1310988,1310996,1311004,0,0.0035380134,0.0027397722,0.003149933,0.0,1310988,1310988,1310996,1311004,0,0.00040983452,0.0002748709,0.00025329622,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
59468000,1310988,1310988,1310996,1311004,0,0.0022953055,0.0017344885,0.0026572135,0.0,1310988,1310988,1310996,1311004,0,0.00044161835,0.00018433561,0.0002759111,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
59668000,1310988,1310988,1310996,1311004,0,0.003048202,0.0017003791,0.0046357624,0.0,1310988,1310988,1310996,1311004,0,0.00035254098,0.00016233107,0.00022470241,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
59868000,1310988,1310988,1310996,1311004,0,0.0027956646,0.0022674259,0.00071503303,0.0,1310988,1310988,1310996,1311004,0,0.00043131388,0.00041527543,0.00014711924,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
60064000,1310988,1310988,1310996,1311004,0,0.0030938692,0.0013445632,0.0037582824,0.0,1310988,1310988,1310996,1311004,0,0.00026577731,0.00027506353,0.0002538764,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
60268000,1310988,1310988,1310996,1311004,0,0.0032663685,0.0006617262,0.0029251473,0.0,1310988,1310988,1310996,1311004,0,0.0002820216,9.435894e-05,0.00021523701,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
60468000,1310988,1310988,1310996,1311004,0,0.003289018,0.0014209666,0.0037036014,0.0,1310988,1310988,1310996,1311004,0,0.00023460471,0.000100403464,0.00015053342,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
60664000,1310988,1310988,1310996,1311004,0,0.002705227,0.0015457697,0.0024304425,0.0,1310988,1310988,1310996,1311004,0,0.00047956934,0.00034727724,0.00017369351,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
60868000,1310988,1310988,1310996,1311004,0,0.0038953002,0.003398187,0.0015655103,0.0,1310988,1310988,1310996,1311004,0,0.00048751477,0.00018934387,0.00036246478,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
61068000,1310988,1310988,1310996,1311004,0,0.0025927017,0.0013161098,0.0018926443,0.0,1310988,1310988,1310996,1311004,0,0.0004649926,0.0002400619,0.0003932759,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
61268000,1310988,1310988,1310996,1311004,0,0.0036368673,0.0021478736,0.0018939956,0.0,1310988,1310988,1310996,1311004,0,0.00052363705,0.00029604384,0.0002842303,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
61468000,1310988,1310988,1310996,1311004,0,0.0033356433,0.0025145998,0.0010609321,0.0,1310988,1310988,1310996,1311004,0,0.0005354497,0.00021750074,0.00034695677,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
61668000,1310988,1310988,1310996,1311004,0,0.0025666503,0.003240095,0.001512556,0.0,1310988,1310988,1310996,1311004,0,0.0005624109,0.0002449785,0.00044993934,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
61864000,1310988,1310988,1310996,1311004,0,0.0036703206,0.0007514425,0.0031371182,0.0,1310988,1310988,1310996,1311004,0,0.0005142282,0.00039884556,0.00030472854,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
62068000,1310988,1310988,1310996,1311004,0,0.0030053633,0.0022837264,0.0014966355,0.0,1310988,1310988,1310996,1311004,0,0.0006412381,0.00024883202,0.00039304886,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
62268000,1310988,1310988,1310996,1311004,0,0.0032498823,0.0023943726,0.000877365,0.0,1310988,1310988,1310996,1311004,0,0.000484575,0.0003244172,0.0001806232,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
62468000,1310988,1310988,1310996,1311004,0,0.0020798177,0.0016888249,0.0004911136,0.0,1310988,1310988,1310996,1311004,0,0.00039147396,0.00024822922,0.00016628698,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
62668000,1310988,1310988,1310996,1311004,0,0.0034368362,0.0013547884,0.0030034522,0.0,1310988,1310988,1310996,1311004,0,0.0004689786,0.0003289643,0.0001982639,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
62868000,1310988,1310988,1310996,1311004,0,0.0025449167,0.0021801365,0.0014744871,0.0,1310988,1310988,1310996,1311004,0,0.00052729057,0.000335926,0.00021436607,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
63068000,1310988,1310988,1310996,1311004,0,0.0029197752,0.001559284,0.0013937143,0.0,1310988,1310988,1310996,1311004,0,0.0004885704,0.0002449185,0.00027777604,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
63268000,1310988,1310988,1310996,1311004,0,0.002498546,0.0008413702,0.0016765867,0.0,1310988,1310988,1310996,1311004,0,0.00031478715,0.00017066265,0.00014652946,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
63468000,1310988,1310988,1310996,1311004,0,0.002825795,0.0016215533,0.0022705263,0.0,1310988,1310988,1310996,1311004,0,0.0004364149,0.00037503295,0.00026273177,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
63668000,1310988,1310988,1310996,1311004,0,0.0023358385,0.0015150579,0.0014117848,0.0,1310988,1310988,1310996,1311004,0,0.0004414916,0.00022433487,0.00023200376,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
63864000,1310988,1310988,1310996,1311004,0,0.002454486,0.0015452912,0.0035909098,0.0,1310988,1310988,1310996,1311004,0,0.0006783174,0.0003510896,0.00033786398,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
64068000,1310988,1310988,1310996,1311004,0,0.00284885,0.0023653388,0.001303836,0.0,1310988,1310988,1310996,1311004,0,0.00067583175,0.00027016425,0.00041947077,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
64268000,1310988,1310988,1310996,1311004,0,0.0036505205,0.0011449684,0.0028423837,0.0,1310988,1310988,1310996,1311004,0,0.00068953895,0.0002910171,0.0004212918,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
64468000,1310988,1310988,1310996,1311004,0,0.0030279497,0.0017406712,0.0045446837,0.0,1310988,1310988,1310996,1311004,0,0.0007050513,0.0005502208,0.00019089849,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
64668000,1310988,1310988,1310996,1311004,0,0.0017760688,0.0009816312,0.0025151684,0.0,1310988,1310988,1310996,1311004,0,0.00063187495,0.0003815909,0.00026888394,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
64868000,1310988,1310988,1310996,1311004,0,0.002640049,0.0028511856,0.0023214896,0.0,1310988,1310988,1310996,1311004,0,0.0005927408,0.00032616407,0.00029247362,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
65064000,1310988,1310988,1310996,1311004,0,0.0031237009,0.0022072126,0.0027534873,0.0,1310988,1310988,1310996,1311004,0,0.0007120983,0.0005107767,0.00029791502,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
65268000,1310988,1310988,1310996,1311004,0,0.0029696827,0.0023610587,0.0019417583,0.0,1310988,1310988,1310996,1311004,0,0.0005456666,0.00034052142,0.00027397237,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
65468000,1310988,1310988,1310996,1311004,0,0.0030182574,0.0021538606,0.0012991086,0.0,1310988,1310988,1310996,1311004,0,0.00047447646,0.00023931343,0.00024459296,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
65668000,1310988,1310988,1310996,1311004,0,0.0028380912,0.001534637,0.0017924549,0.0,1310988,1310988,1310996,1311004,0,0.00028285244,0.00020467167,0.0001478942,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
65868000,1310988,1310988,1310996,1311004,0,0.0035041526,0.0025353867,0.0012861007,0.0,1310988,1310988,1310996,1311004,0,0.0004731557,0.00020007414,0.0002843202,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
66068000,1310988,1310988,1310996,1311004,0,0.003024037,0.0019518242,0.0019275494,0.0,1310988,1310988,1310996,1311004,0,0.000409522,0.0002335717,0.00021504331,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
66268000,1310988,1310988,1310996,1311004,0,0.0036111886,0.0021561254,0.001939213,0.0,1310988,1310988,1310996,1311004,0,0.00025411876,0.0001783088,0.0001149376,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
