timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
49472000,49472000,1310988,1310988,-0.0007851,-9.587448e-06,1.1717912e-05,-0.0006129157,-0.0024037783,-0.039221816,4000,4000,0,0,0
49972000,49972000,1310988,1310988,-0.00069987884,-2.6631427e-05,-1.0654081e-06,-0.00064164604,-0.0016998826,-0.039375048,4000,4000,0,0,0
50472000,50472000,1310988,1310988,-0.0004452806,-1.2783054e-05,-1.4914021e-05,-0.000746991,-0.00053151214,-0.039853882,4000,4000,0,0,0
50972000,50972000,1310988,1310988,-8.202538e-05,-2.7696915e-05,-2.8762111e-05,-0.0008667011,0.0008283946,-0.0396432,4000,4000,0,0,0
51472000,51472000,1310988,1310988,0.0003238404,-2.9827586e-05,-1.5978781e-05,-0.0006512228,0.0019297275,-0.039494753,4000,4000,0,0,0
51972000,51972000,1310988,1310988,0.0006306366,-2.769699e-05,-1.0655252e-06,-0.00072304904,0.0026767186,-0.039288856,4000,4000,0,0,0
52472000,52472000,1310988,1310988,0.0007819042,-6.3915872e-06,-3.1954473e-06,-0.00077093294,0.00279164,-0.038953666,4000,4000,0,0,0
52972000,52972000,1310988,1310988,0.00073290203,-9.587184e-06,-3.1957338e-06,-0.0010103531,0.0021930896,-0.03916914,4000,4000,0,0,0
53472000,53472000,1310988,1310988,0.0005091964,-1.3848079e-05,-4.2609627e-06,-0.0009337388,0.0012689276,-0.039978385,4000,4000,0,0,0
53972000,53972000,1310988,1310988,0.00014168018,-3.1958486e-06,1.2783211e-05,-0.0007852982,-0.00015322823,-0.039834734,4000,4000,0,0,0
54472000,54472000,1310988,1310988,-0.00020879183,-1.0652681e-05,-2.130573e-06,-0.00084754743,-0.0014365204,-0.039767694,4000,4000,0,0,0
54972000,54972000,1310988,1310988,-0.00052943657,-2.7696784e-05,-1.0647382e-06,-0.0007805097,-0.0022936447,-0.039279275,4000,4000,0,0,0
55472000,55472000,1310988,1310988,-0.00076805573,-4.04804e-05,1.1718903e-05,-0.0008523358,-0.0024947575,-0.039020706,4000,4000,0,0,0
55972000,55972000,1310988,1310988,-0.00082238414,-3.1957712e-05,-8.5209585e-06,-0.00086191273,-0.002389413,-0.039063804,4000,4000,0,0,0
56472000,56472000,1310988,1310988,-0.0005965481,-2.8761931e-05,3.4532496e-10,-0.00070389535,-0.001192312,-0.039451662,4000,4000,0,0,0
56972000,56972000,1310988,1310988,-0.00029188246,-2.1305133e-05,1.0651314e-06,-0.0007852982,-0.0001244978,-0.0396432,4000,4000,0,0,0
57472000,57472000,1310988,1310988,0.00012676648,-1.1717932e-05,1.0653258e-06,-0.0007805097,0.0012689276,-0.0398874,4000,4000,0,0,0
57972000,57972000,1310988,1310988,0.00046445537,-4.687156e-05,-1.5979458e-05,-0.00084275904,0.002346319,-0.039327163,4000,4000,0,0,0
58472000,58472000,1310988,1310988,0.00072864094,-6.3918465e-06,5.3267104e-06,-0.00092416187,0.002494759,-0.03886747,4000,4000,0,0,0
58972000,58972000,1310988,1310988,0.00082664535,-2.3435452e-05,1.0654759e-06,-0.0007805097,0.002456452,-0.038881842,4000,4000,0,0,0
59472000,59472000,1310988,1310988,0.0006902915,-2.237068e-05,5.326876e-06,-0.000746991,0.0015801741,-0.039485183,4000,4000,0,0,0
59972000,59972000,1310988,1310988,0.00038775627,3.1960292e-06,-5.3262575e-06,-0.0008571242,0.00038307297,-0.040031053,4000,4000,0,0,0
60472000,60472000,1310988,1310988,4.261053e-06,-6.3915877e-06,-5.3263266e-06,-0.0008858547,-0.0007948743,-0.039609674,4000,4000,0,0,0
60972000,60972000,1310988,1310988,-0.00039201736,-1.0652715e-05,3.195864e-06,-0.0006129157,-0.0019393029,-0.039264914,4000,4000,0,0,0
61472000,61472000,1310988,1310988,-0.0006753778,-2.6631735e-05,1.0653004e-06,-0.0007517794,-0.002513911,-0.039154775,4000,4000,0,0,0
61972000,61972000,1310988,1310988,-0.00078296947,-2.1305705e-05,-7.4570667e-06,-0.00077093294,-0.0026958708,-0.039217032,4000,4000,0,0,0
62472000,62472000,1310988,1310988,-0.0007265104,-3.4088283e-05,-1.27827025e-05,-0.0007900865,-0.002073378,-0.039149992,4000,4000,0,0,0
62972000,62972000,1310988,1310988,-0.0004569985,-3.621941e-05,-1.5978865e-05,-0.00072304904,-0.00077572063,-0.039695863,4000,4000,0,0,0
63472000,63472000,1310988,1310988,-0.00013422333,-5.2197916e-05,-4.261038e-06,-0.00073741423,0.00052193674,-0.03993529,4000,4000,0,0,0
63972000,63972000,1310988,1310988,0.00027057718,-2.5566233e-05,-6.391531e-06,-0.00070868374,0.0017621333,-0.039427716,4000,4000,0,0,0
64472000,64472000,1310988,1310988,0.0005912219,-2.8762457e-05,7.4571662e-06,-0.0008188171,0.0025761616,-0.0391452,4000,4000,0,0,0
64972000,64972000,1310988,1310988,0.00075207686,-9.587781e-06,1.49130365e-05,-0.00062249246,0.0026910838,-0.039121255,4000,4000,0,0,0
65472000,65472000,1310988,1310988,0.0007531421,-3.195459e-06,3.195928e-06,-0.00089064316,0.002245762,-0.03925534,4000,4000,0,0,0
65972000,65972000,1310988,1310988,0.00055393757,-4.261153e-06,5.3267195e-06,-0.0008571242,0.0011779482,-0.039724596,4000,4000,0,0,0
66472000,66472000,1310988,1310988,0.00019920449,-2.663154e-05,-1.0651979e-06,-0.00068953016,-9.576738e-05,-0.039882615,4000,4000,0,0,0
66972000,66972000,1310988,1310988,-0.00016298548,-1.1717898e-05,7.4567615e-06,-0.00073262583,-0.0013694828,-0.039796427,4000,4000,0,0,0
67472000,67472000,1310988,1310988,-0.000535828,-2.1304356e-06,6.3911116e-06,-0.00063206925,-0.0022792793,-0.03936068,4000,4000,0,0,0
67972000,67972000,1310988,1310988,-0.0007776431,-1.5978829e-05,1.064564e-06,-0.0007852981,-0.0026336217,-0.0391452,4000,4000,0,0,0
68472000,68472000,1310988,1310988,-0.0008362326,-5.0067876e-05,-5.3258873e-06,-0.00065601134,-0.0023989899,-0.039106894,4000,4000,0,0,0
68972000,68972000,1310988,1310988,-0.0006593988,-4.3675434e-05,-1.0651135e-06,-0.0005506664,-0.001312022,-0.039719813,4000,4000,0,0,0
69472000,69472000,1310988,1310988,-0.00031212246,-5.0067818e-05,-2.5566202e-05,-0.00061770406,-0.0001292862,-0.039987963,4000,4000,0,0,0
69972000,69972000,1310988,1310988,6.0720075e-05,-4.1545325e-05,-1.1717913e-05,-0.0007565678,0.0011013335,-0.039695866,4000,4000,0,0,0
70472000,70472000,1310988,1310988,0.0004538027,-3.1957818e-05,-5.326145e-06,-0.0007805098,0.002197878,-0.0396432,4000,4000,0,0,0
70972000,70972000,1310988,1310988,0.00069029146,-3.3023756e-05,1.6860163e-10,-0.0008906431,0.0026048925,-0.039011125,4000,4000,0,0,0
71472000,71472000,1310988,1310988,0.0008127969,-7.4565596e-06,4.2616425e-06,-0.0007517794,0.002633623,-0.038996764,4000,4000,0,0,0
71972000,71972000,1310988,1310988,0.00070627045,1.9174642e-05,5.327308e-06,-0.00093373883,0.0017812869,-0.039451662,4000,4000,0,0,0
72472000,72472000,1310988,1310988,0.0004303669,7.456661e-06,-9.587227e-06,-0.0007996635,0.0005602439,-0.039844308,4000,4000,0,0,0
72972000,72972000,1310988,1310988,6.8176945e-05,-9.587334e-06,-4.2610777e-06,-0.00084275904,-0.00062728015,-0.03975812,4000,4000,0,0,0
73472000,73472000,1310988,1310988,-0.00036432047,-1.5979129e-05,2.130754e-06,-0.00076614454,-0.0018052275,-0.03964798,4000,4000,0,0,0
73972000,73972000,1310988,1310988,-0.00064874603,-9.587669e-06,-1.0652003e-06,-0.0007900865,-0.0024181434,-0.03930322,4000,4000,0,0,0
74472000,74472000,1310988,1310988,-0.00080320943,-1.3848796e-05,4.2611264e-06,-0.00059855054,-0.0024803923,-0.039130833,4000,4000,0,0,0
