timestamp,u[0],u[1],u[2],ueq[0],ueq[1],ueq[2],k[0],k[1],k[2],r[0],r[1],r[2],ut[0],ut[1],ut[2],sigma[0],sigma[1],sigma[2],derr[0],derr[1],derr[2],delta[0],delta[1],delta[2],rho[0],rho[1],rho[2],att[0],att[1],att[2],att_sp[0],att_sp[1],att_sp[2],rate[0],rate[1],rate[2],rate_sp[0],rate_sp[1],rate_sp[2]
12268000,0.0,0.0,0.0,0.035771936,0.0376948,0.00035693613,0.1879999,0.1879999,0.1879999,0.5,0.5,400.5,0.036262404,0.037766412,0.00020005807,-0.017226797,-0.01794129,-9.503947e-05,-0.0007924496,8.331612e-05,-0.0007787333,-0.0018030852,-0.0040274262,0.033533722,1.0,1.0,401.0,-0.016458448,-0.017905222,1.6175529,0.0006891051,4.4400324e-05,1.61757,-0.0007924496,8.331612e-05,-0.0007787333,0.0,0.0,0.0
12468000,0.0,0.0,0.0,0.03577205,0.036502786,-2.1029067e-05,0.1879999,0.1879999,0.1879999,0.5,0.5,400.5,0.03592426,0.03673503,6.5525666e-05,-0.017066158,-0.017451322,-3.1128584e-05,0.001317247,0.0009587575,-0.00018373191,-0.0020309836,-0.0027152002,0.033920377,1.0,1.0,401.0,-0.01645263,-0.017748801,1.6170652,0.00074525346,-0.00020160325,1.617078,0.001317247,0.0009587575,-0.00018373191,0.0,0.0,0.0
12668000,0.0,0.0,0.0,0.036974743,0.03671204,6.27203e-05,0.1879999,0.1879999,0.1879999,0.5,0.5,400.5,0.037387934,0.036722478,1.7619246e-05,-0.01776149,-0.01744536,-8.370189e-06,-0.0023603593,-0.00017792918,-4.6747013e-05,-0.0030700713,-0.0030759275,0.033906177,1.0,1.0,401.0,-0.016506325,-0.017612673,1.616758,0.0010191267,-0.00018510678,1.6167617,-0.0023603593,-0.00017792918,-4.6747013e-05,0.0,0.0,0.0
12864000,0.0,0.0,0.0,0.03799961,0.03721861,-0.00017531203,0.1919999,0.1919999,0.1919999,0.5,0.5,400.5,0.038204204,0.037050296,-0.00029088638,-0.018106258,-0.017559383,0.00013786086,-0.002821155,0.002783187,0.0014537104,-0.00024577975,0.00029200315,0.03790064,1.0,1.0,401.0,-0.016556652,-0.017411541,1.616335,0.0012674886,0.0004261605,1.6163425,-0.002821155,0.002783187,0.0014537104,0.0,0.0,0.0
13068000,0.0,0.0,0.0,0.040111467,0.037026994,0.00023419871,0.1879999,0.1879999,0.1879999,0.5,0.5,400.5,0.039999414,0.03713107,0.000117136515,-0.018912254,-0.017556062,-5.5383698e-05,0.0018892409,0.00030618114,-0.00047635092,0.0014078021,0.004668981,0.041684493,1.0,1.0,401.0,-0.016624061,-0.017336128,1.6155705,0.002477117,0.00025055144,1.6155783,0.0018892409,0.00030618114,-0.00047635092,0.0,0.0,0.0
13264000,0.0,0.0,0.0,0.041003257,0.03727341,0.00013367682,0.1919999,0.1919999,0.1919999,0.5,0.5,400.5,0.04068104,0.037667725,9.0724774e-05,-0.019280115,-0.017852003,-4.2997526e-05,0.0018533967,-0.0026476695,-0.00042997525,-0.0036345124,0.00061552227,0.03783594,1.0,1.0,401.0,-0.016614461,-0.017275324,1.6153319,0.002850992,0.00031191084,1.6153319,0.0018533967,-0.0026476695,-0.00042997525,0.0,0.0,0.0
13468000,0.0,0.0,0.0,0.038201638,0.03715989,-9.218482e-05,0.1879999,0.1879999,0.1879999,0.5,0.5,400.5,0.037281167,0.037084334,-8.437914e-05,-0.01762703,-0.017533964,3.9895578e-05,0.021786364,0.00093834614,0.00036438508,0.0027925372,0.0044137686,0.041901514,1.0,1.0,401.0,-0.016148353,-0.01732003,1.6153216,0.0036573138,0.00030776844,1.6153182,0.021786364,0.00093834614,0.00036438508,0.0,0.0,0.0
13664000,0.0,0.0,0.0,0.006139673,-0.018662227,-0.0038742092,0.15999995,0.15999995,0.15999995,0.5,200.5,0.5,0.0044501615,-0.02142514,-0.003910966,-0.0021498366,0.010350309,0.0018893557,0.06866652,0.1456941,0.017660933,-0.0013394505,-0.010990232,0.0021113604,1.0,201.0,1.0,-0.006377266,-0.005033905,1.6170083,0.002639223,-0.00081480364,1.6168851,0.06866652,0.1456941,0.017660933,0.0,0.0,0.0
13868000,0.0,0.0,0.0,-0.0019191493,-0.075568885,-0.0010395631,0.14799997,0.14799997,0.14799997,0.5,200.5,0.5,-0.003162538,-0.07558721,-0.00077386963,0.0015314955,0.03660398,0.0003747553,-0.0028290267,0.009124722,0.0036033096,0.00089871883,-0.0743199,0.0007709712,1.0,201.0,1.0,-0.002594588,0.018008485,1.6186806,-0.0044089863,-0.01768302,1.6186662,-0.0028290267,0.009124722,0.0036033096,0.0,0.0,0.0
14064000,0.0,0.0,0.0,-0.004154141,-0.045912236,-0.0008246692,0.15199997,0.15199997,0.15199997,0.5,200.5,0.5,-0.004877293,-0.045032956,-0.00096043694,0.0023561805,0.021755053,0.00046397923,-0.010512849,-0.10484026,0.004278588,0.002290815,-0.04096815,0.0052583814,1.0,201.0,1.0,-0.006379214,0.0028134473,1.6197071,-0.009786679,-0.029425634,1.619671,-0.010512849,-0.10484026,0.004278588,0.0,0.0,0.0
14268000,0.0,0.0,0.0,-0.0034376483,-0.021774266,-0.0005213124,0.15599996,0.15599996,0.15599996,0.5,200.5,0.5,-0.0032653345,-0.021638172,-0.00061710057,0.001581276,0.010478534,0.00029883807,-0.012284385,-0.067222595,0.0027952616,-0.0015884489,-0.020085901,0.0015378892,1.0,201.0,1.0,-0.010905487,-0.016061157,1.6207268,-0.013715202,-0.03326195,1.6207075,-0.012284385,-0.067222595,0.0027952616,0.0,0.0,0.0
14464000,0.0,0.0,0.0,-0.0012478802,-0.024175523,-0.0014327933,0.15199997,0.15199997,0.15199997,0.5,200.5,0.5,-0.001074909,-0.023867188,-0.0013476138,0.0005218005,0.011586013,0.0006541814,-0.020059766,-0.024930788,0.0060220617,-0.0033769906,-0.026627384,-0.0035046637,1.0,201.0,1.0,-0.014590181,-0.021718474,1.6218325,-0.017117959,-0.035797566,1.6217805,-0.020059766,-0.024930788,0.0060220617,0.0,0.0,0.0
14664000,0.0,0.0,0.0,-0.00029857672,-0.018038837,-0.00079133426,0.15199997,0.15199997,0.15199997,0.5,200.5,0.5,-0.000592105,-0.01801124,-0.00038296063,0.0002874296,0.008743321,0.00018590322,-0.009570222,-0.014988471,0.001715981,-0.0021039695,-0.020239666,-0.0030743629,1.0,201.0,1.0,-0.017714683,-0.026051968,1.6228096,-0.018959135,-0.036294136,1.6227953,-0.009570222,-0.014988471,0.001715981,0.0,0.0,0.0
14868000,0.0,0.0,0.0,0.00038406957,-0.011002428,-0.0008527438,0.14799997,0.14799997,0.14799997,0.5,0.5,0.5,5.0998915e-05,-0.010783724,-0.00093883247,-2.4696812e-05,0.005222142,0.00045464045,-0.008610208,-0.00859966,0.004300833,0.0013877153,-0.009260878,0.0011965781,1.0,1.0,1.0,-0.019747382,-0.028651347,1.623715,-0.020583706,-0.034733456,1.6236905,-0.008610208,-0.00859966,0.004300833,0.0,0.0,0.0
15064000,0.0,0.0,0.0,-0.00035325246,-0.0072478014,-0.0010276312,0.15199997,0.15199997,0.15199997,0.5,0.5,0.5,-0.00037167268,-0.007505199,-0.00086343806,0.00018042364,0.0036433004,0.00041914472,-0.0046474077,0.004202593,0.003854085,-0.0023444444,-0.009147719,-0.0031486154,1.0,1.0,1.0,-0.020687515,-0.029148197,1.624741,-0.02133268,-0.032371238,1.6247072,-0.0046474077,0.004202593,0.003854085,0.0,0.0,0.0
15264000,0.0,0.0,0.0,0.0005296143,-0.0064791776,-0.0010536717,0.15199997,0.15199997,0.15199997,0.5,0.5,0.5,0.0003081363,-0.0063079554,-0.0009849924,-0.00014958074,0.0030621144,0.00047815163,-0.004475667,0.0031100987,0.004446538,-0.0026841462,-0.008659959,-0.0031106025,1.0,1.0,1.0,-0.02140059,-0.02781041,1.6255218,-0.021698575,-0.030561514,1.6254883,-0.004475667,0.0031100987,0.004446538,0.0,0.0,0.0
15464000,0.0,0.0,0.0,0.0007841643,-0.0039665103,-0.0012280068,0.15199997,0.15199997,0.15199997,0.5,0.5,0.5,0.0006019126,-0.003856281,-0.001662614,-0.00029219058,0.0018719812,0.0008070942,-0.0010099377,0.0043305615,0.007516619,-0.002914846,-0.006080836,-0.0029477775,1.0,1.0,1.0,-0.021686612,-0.026772052,1.6263814,-0.021495415,-0.028210977,1.626326,-0.0010099377,0.0043305615,0.007516619,0.0,0.0,0.0
15664000,0.0,0.0,0.0,-0.00011954084,-0.0045213536,-0.0010072595,0.15199997,0.15199997,0.15199997,0.5,0.5,0.5,-0.00016373438,-0.004536887,-0.0009956328,7.948271e-05,0.0022023725,0.00048331692,-0.0027033323,0.0027252326,0.0045685247,-0.0020910203,-0.0065566003,-0.0030252934,1.0,1.0,1.0,-0.021387862,-0.025394669,1.62687,-0.021737678,-0.027324518,1.6268436,-0.0027033323,0.0027252326,0.0045685247,0.0,0.0,0.0
15864000,0.0,0.0,0.0,0.0015018729,-0.0012648735,-0.0007209745,0.15199997,0.15199997,0.15199997,0.5,0.5,0.5,0.0014166846,-0.0012649767,-0.0006175984,-0.00068771094,0.0006140663,0.00029980505,0.0010136331,0.008849266,0.002775129,-0.0035744458,-0.0032776147,-0.0027979016,1.0,1.0,1.0,-0.021435022,-0.024364728,1.6275785,-0.020645948,-0.024093868,1.6275562,0.0010136331,0.008849266,0.002775129,0.0,0.0,0.0
