timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
46988000,46988000,1310996,-0.1659133,0.42913672,-9.873136,11.789911,0,0,0,0,1
47988000,47988000,1310996,-0.20423083,-0.27283585,-9.982226,11.790125,0,0,0,0,1
48988000,48988000,1310996,-0.15979467,-0.64501196,-9.880585,11.790186,0,0,0,0,1
49988000,49988000,1310996,-0.19148721,-0.3886383,-9.873255,11.790033,0,0,0,0,1
50988000,50988000,1310996,-0.20836194,0.22480471,-9.883777,11.789942,0,0,0,0,1
51988000,51988000,1310996,-0.23072366,0.655559,-9.803883,11.789942,0,0,0,0,1
52988000,52988000,1310996,-0.15068878,0.5174222,-9.8061905,11.790003,0,0,0,0,1
53988000,53988000,1310996,-0.18351915,-0.09607973,-9.998985,11.790155,0,0,0,0,1
54988000,54988000,1310996,-0.20570421,-0.60019684,-9.825579,11.790216,0,0,0,0,1
55988000,55988000,1310996,-0.13739593,-0.584609,-9.713575,11.790094,0,0,0,0,1
56988000,56988000,1310996,-0.21298647,0.062360533,-9.90164,11.790125,0,0,0,0,1
57988000,57988000,1310996,-0.20839283,0.5241943,-9.851069,11.790247,0,0,0,0,1
58988000,58988000,1310996,-0.21375418,0.5688054,-9.821124,11.7902775,0,0,0,0,1
59988000,59988000,1310996,-0.1882017,0.11913043,-9.991865,11.790491,0,0,0,0,1
60988000,60988000,1310996,-0.27894694,-0.5422505,-9.883903,11.790705,0,0,0,0,1
61988000,61988000,1310996,-0.21627375,-0.5724106,-9.798812,11.790766,0,0,0,0,1
62988000,62988000,1310996,-0.19084366,-0.1829577,-9.953205,11.790857,0,0,0,0,1
63988000,63988000,1310996,-0.18487164,0.4788035,-9.92557,11.790949,0,0,0,0,1
64988000,64988000,1310996,-0.18785648,0.65802044,-9.725851,11.791071,0,0,0,0,1
65988000,65988000,1310996,-0.14525972,0.32295328,-9.940342,11.791315,0,0,0,0,1
66988000,66988000,1310996,-0.21646874,-0.3528862,-9.919618,11.791651,0,0,0,0,1
67988000,67988000,1310996,-0.14942467,-0.6920061,-9.78183,11.791803,0,0,0,0,1
68988000,68988000,1310996,-0.13542931,-0.36473048,-9.934056,11.791956,0,0,0,0,1
69988000,69988000,1310996,-0.19825311,0.27299175,-9.88472,11.7920475,0,0,0,0,1
70988000,70988000,1310996,-0.1220988,0.68040013,-9.784923,11.7920475,0,0,0,0,1
71988000,71988000,1310996,-0.23208368,0.45345244,-9.819,11.792078,0,0,0,0,1
72988000,72988000,1310996,-0.1493338,-0.2035825,-9.89791,11.79217,0,0,0,0,1
73988000,73988000,1310996,-0.14813666,-0.6393744,-9.800473,11.79217,0,0,0,0,1
74988000,74988000,1310996,-0.17345937,-0.5417606,-9.811931,11.791895,0,0,0,0,1
75988000,75988000,1310996,-0.23827742,0.1647996,-9.990529,11.791834,0,0,0,0,1
76988000,76988000,1310996,-0.16450955,0.6527924,-9.766668,11.791803,0,0,0,0,1
77988000,77988000,1310996,-0.21788974,0.5642156,-9.728456,11.79162,0,0,0,0,1
78988000,78988000,1310996,-0.24211122,-0.057069752,-9.907131,11.791529,0,0,0,0,1
79988000,79988000,1310996,-0.20742404,-0.5110512,-9.884017,11.791498,0,0,0,0,1
80988000,80988000,1310996,-0.18613665,-0.591555,-9.740672,11.791346,0,0,0,0,1
81988000,81988000,1310996,-0.17400743,-0.020120375,-9.956818,11.791254,0,0,0,0,1
82988000,82988000,1310996,-0.15201385,0.49525788,-9.855292,11.791132,0,0,0,0,1
83988000,83988000,1310996,-0.20010354,0.6870191,-9.744139,11.790949,0,0,0,0,1
84988000,84988000,1310996,-0.23092261,0.1515612,-9.864881,11.79104,0,0,0,0,1
85988000,85988000,1310996,-0.2464951,-0.45951885,-9.884447,11.7911625,0,0,0,0,1
86988000,86988000,1310996,-0.20942606,-0.68443096,-9.761239,11.79104,0,0,0,0,1
87988000,87988000,1310996,-0.17981328,-0.22811867,-9.897141,11.790888,0,0,0,0,1
88988000,88988000,1310996,-0.23415942,0.38961443,-9.871648,11.79101,0,0,0,0,1
89988000,89988000,1310996,-0.18928282,0.6571938,-9.738364,11.791101,0,0,0,0,1
90988000,90988000,1310996,-0.23024873,0.32486197,-9.887371,11.791254,0,0,0,0,1
91988000,91988000,1310996,-0.23331757,-0.32477435,-9.84538,11.791498,0,0,0,0,1
92988000,92988000,1310996,-0.22694811,-0.68438995,-9.74501,11.791681,0,0,0,0,1
93988000,93988000,1310996,-0.21370836,-0.42601252,-9.812446,11.791742,0,0,0,0,1
94988000,94988000,1310996,-0.2024202,0.23410286,-9.943785,11.791864,0,0,0,0,1
95988000,95988000,1310996,-0.1776281,0.69370204,-9.800996,11.791925,0,0,0,0,1
96988000,96988000,1310996,-0.12447679,0.56480664,-9.836204,11.791956,0,0,0,0,1
97988000,97988000,1310996,-0.14623353,-0.052158307,-9.975049,11.792109,0,0,0,0,1
98988000,98988000,1310996,-0.18468592,-0.5531359,-9.756966,11.792078,0,0,0,0,1
99988000,99988000,1310996,-0.18832155,-0.5079712,-9.764117,11.791864,0,0,0,0,1
100988000,100988000,1310996,-0.17912574,0.0010026512,-9.980893,11.791925,0,0,0,0,1
101988000,101988000,1310996,-0.18131585,0.6439234,-9.76239,11.791986,0,0,0,0,1
102988000,102988000,1310996,-0.2241667,0.67070156,-9.765806,11.7920475,0,0,0,0,1
103988000,103988000,1310996,-0.21575405,0.10978906,-9.943224,11.792139,0,0,0,0,1
104988000,104988000,1310996,-0.24603309,-0.44454268,-9.844182,11.79217,0,0,0,0,1
105988000,105988000,1310996,-0.2344411,-0.59152234,-9.693046,11.792017,0,0,0,0,1
106988000,106988000,1310996,-0.1552865,-0.094068356,-9.967866,11.791986,0,0,0,0,1
107988000,107988000,1310996,-0.15969232,0.4534197,-9.900194,11.792078,0,0,0,0,1
108988000,108988000,1310996,-0.18428542,0.7222362,-9.720355,11.792109,0,0,0,0,1
109988000,109988000,1310996,-0.20333754,0.30972406,-9.955284,11.792078,0,0,0,0,1
110988000,110988000,1310996,-0.17359112,-0.31113347,-9.9408455,11.7920475,0,0,0,0,1
111988000,111988000,1310996,-0.21648635,-0.6618663,-9.68515,11.791651,0,0,0,0,1
112988000,112988000,1310996,-0.16777147,-0.32136965,-9.800725,11.791224,0,0,0,0,1
113988000,113988000,1310996,-0.17467459,0.30342638,-9.838324,11.7911625,0,0,0,0,1
114988000,114988000,1310996,-0.15792476,0.7301166,-9.741523,11.791224,0,0,0,0,1
115988000,115988000,1310996,-0.19911332,0.4691261,-9.83022,11.791285,0,0,0,0,1
116988000,116988000,1310996,-0.100499935,-0.11886791,-9.9101715,11.791498,0,0,0,0,1
117988000,117988000,1310996,-0.13851048,-0.6173532,-9.774844,11.79159,0,0,0,0,1
118988000,118988000,1310996,-0.17299506,-0.446633,-9.807238,11.79159,0,0,0,0,1
119988000,119988000,1310996,-0.1921535,0.13656422,-10.016682,11.791803,0,0,0,0,1
120988000,120988000,1310996,-0.19047901,0.6491432,-9.792219,11.791925,0,0,0,0,1
121988000,121988000,1310996,-0.17729218,0.5769127,-9.762085,11.7920475,0,0,0,0,1
122988000,122988000,1310996,-0.10874098,0.0042346697,-9.983015,11.792292,0,0,0,0,1
123988000,123988000,1310996,-0.18637273,-0.539015,-9.850612,11.792383,0,0,0,0,1
124988000,124988000,1310996,-0.20495108,-0.57547784,-9.776264,11.792292,0,0,0,0,1
125988000,125988000,1310996,-0.2420057,-0.03879706,-9.968533,11.792322,0,0,0,0,1
126988000,126988000,1310996,-0.12427701,0.56689763,-9.893616,11.792414,0,0,0,0,1
127988000,127988000,1310996,-0.18376997,0.6685964,-9.745595,11.792444,0,0,0,0,1
128988000,128988000,1310996,-0.21641439,0.17791128,-9.913548,11.792475,0,0,0,0,1
129988000,129988000,1310996,-0.1506102,-0.43874142,-9.899507,11.792536,0,0,0,0,1
130988000,130988000,1310996,-0.1917336,-0.6183395,-9.754562,11.792383,0,0,0,0,1
131988000,131988000,1310996,-0.20060736,-0.20489712,-9.889035,11.7922,0,0,0,0,1
132988000,132988000,1310996,-0.12898435,0.43926707,-9.909244,11.79217,0,0,0,0,1
133988000,133988000,1310996,-0.1902706,0.72272927,-9.748315,11.792017,0,0,0,0,1
134988000,134988000,1310996,-0.19995673,0.39520475,-9.8722515,11.791956,0,0,0,0,1
135988000,135988000,1310996,-0.19665377,-0.19769736,-9.896686,11.792017,0,0,0,0,1
136988000,136988000,1310996,-0.13940234,-0.6069789,-9.792158,11.791895,0,0,0,0,1
137988000,137988000,1310996,-0.2058684,-0.39486042,-9.8229685,11.791498,0,0,0,0,1
138988000,138988000,1310996,-0.2009303,0.19769697,-9.9133215,11.791315,0,0,0,0,1
139988000,139988000,1310996,-0.18937676,0.65673745,-9.773572,11.791071,0,0,0,0,1
140988000,140988000,1310996,-0.1937475,0.53515697,-9.777352,11.790918,0,0,0,0,1
141988000,141988000,1310996,-0.17163436,-0.08960898,-9.865166,11.790888,0,0,0,0,1
142988000,142988000,1310996,-0.15449768,-0.67480314,-9.775895,11.790918,0,0,0,0,1
143988000,143988000,1310996,-0.15555328,-0.5667796,-9.778803,11.790918,0,0,0,0,1
144988000,144988000,1310996,-0.19214244,0.014819131,-9.909137,11.7911625,0,0,0,0,1
145988000,145988000,1310996,-0.13964926,0.5838326,-9.822127,11.791376,0,0,0,0,1
146988000,146988000,1310996,-0.18415102,0.63563806,-9.720238,11.791559,0,0,0,0,1
147988000,147988000,1310996,-0.26167664,0.081196785,-9.956407,11.791925,0,0,0,0,1
148988000,148988000,1310996,-0.22409488,-0.5056691,-9.87771,11.79217,0,0,0,0,1
149988000,149988000,1310996,-0.13746901,-0.60491145,-9.801422,11.792292,0,0,0,0,1
150988000,150988000,1310996,-0.17820512,-0.16177177,-9.906462,11.792353,0,0,0,0,1
151988000,151988000,1310996,-0.11893331,0.47387913,-9.885453,11.792383,0,0,0,0,1
152988000,152988000,1310996,-0.1845265,0.72757155,-9.7474785,11.792322,0,0,0,0,1
153988000,153988000,1310996,-0.18053068,0.2835122,-9.916069,11.792414,0,0,0,0,1
154988000,154988000,1310996,-0.17605077,-0.33128273,-9.870068,11.792383,0,0,0,0,1
155988000,155988000,1310996,-0.13413337,-0.67125136,-9.7588005,11.7922,0,0,0,0,1
156988000,156988000,1310996,-0.12336736,-0.3272556,-9.799118,11.7920475,0,0,0,0,1
157988000,157988000,1310996,-0.13100107,0.32311487,-9.872725,11.792139,0,0,0,0,1
158988000,158988000,1310996,-0.19456339,0.7195335,-9.817406,11.7922,0,0,0,0,1
159988000,159988000,1310996,-0.23044297,0.5204649,-9.941428,11.792414,0,0,0,0,1
160988000,160988000,1310996,-0.12846695,-0.14349134,-9.914502,11.792719,0,0,0,0,1
161988000,161988000,1310996,-0.19388838,-0.5636955,-9.811984,11.792841,0,0,0,0,1
162988000,162988000,1310996,-0.18767507,-0.41194728,-9.831208,11.792719,0,0,0,0,1
163988000,163988000,1310996,-0.20037255,0.09598346,-9.953698,11.792627,0,0,0,0,1
164988000,164988000,1310996,-0.15109593,0.6974471,-9.765358,11.792444,0,0,0,0,1
165988000,165988000,1310996,-0.13174187,0.6573519,-9.762449,11.792383,0,0,0,0,1
166988000,166988000,1310996,-0.23367186,0.069974974,-10.000446,11.792505,0,0,0,0,1
167988000,167988000,1310996,-0.25955954,-0.5393036,-9.833556,11.792444,0,0,0,0,1
168988000,168988000,1310996,-0.17714643,-0.5991178,-9.741906,11.792231,0,0,0,0,1
169988000,169988000,1310996,-0.18841796,-0.096039034,-9.975271,11.792109,0,0,0,0,1
170988000,170988000,1310996,-0.15999375,0.5483107,-9.930288,11.7920475,0,0,0,0,1
171988000,171988000,1310996,-0.18381372,0.6731683,-9.735339,11.791956,0,0,0,0,1
172988000,172988000,1310996,-0.20787501,0.20298606,-10.015291,11.7920475,0,0,0,0,1
173988000,173988000,1310996,-0.16195524,-0.3948243,-9.82583,11.792017,0,0,0,0,1
174988000,174988000,1310996,-0.14412801,-0.683287,-9.774788,11.791895,0,0,0,0,1
175988000,175988000,1310996,-0.14105709,-0.25468943,-9.94237,11.791712,0,0,0,0,1
176988000,176988000,1310996,-0.16585352,0.3956523,-9.852873,11.791559,0,0,0,0,1
177988000,177988000,1310996,-0.22148421,0.76212406,-9.788498,11.791376,0,0,0,0,1
178988000,178988000,1310996,-0.17512548,0.42076236,-9.869626,11.791193,0,0,0,0,1
179988000,179988000,1310996,-0.15631351,-0.28602698,-10.001995,11.791193,0,0,0,0,1
180988000,180988000,1310996,-0.19464226,-0.6396658,-9.7394705,11.791132,0,0,0,0,1
181988000,181988000,1310996,-0.07897188,-0.38159463,-9.859106,11.79101,0,0,0,0,1
182988000,182988000,1310996,-0.17289415,0.20035088,-9.9204035,11.791071,0,0,0,0,1
183988000,183988000,1310996,-0.1280142,0.6725525,-9.771567,11.791132,0,0,0,0,1
184988000,184988000,1310996,-0.17813449,0.4687318,-9.775309,11.791315,0,0,0,0,1
185988000,185988000,1310996,-0.17267972,-0.08369692,-9.963878,11.791681,0,0,0,0,1
186988000,186988000,1310996,-0.14294584,-0.6044711,-9.853837,11.791925,0,0,0,0,1
187988000,187988000,1310996,-0.15905759,-0.5385198,-9.763489,11.791895,0,0,0,0,1
188988000,188988000,1310996,-0.1295705,0.029059518,-9.907227,11.791956,0,0,0,0,1
189988000,189988000,1310996,-0.18210681,0.6117846,-9.784027,11.791925,0,0,0,0,1
190988000,190988000,1310996,-0.18432109,0.71411383,-9.775649,11.791803,0,0,0,0,1
191988000,191988000,1310996,-0.15442722,0.13992009,-9.982626,11.791712,0,0,0,0,1
192988000,192988000,1310996,-0.20423776,-0.4462201,-9.782281,11.791651,0,0,0,0,1
193988000,193988000,1310996,-0.15371245,-0.5999749,-9.72494,11.791498,0,0,0,0,1
194988000,194988000,1310996,-0.083669305,-0.20366822,-10.035216,11.791407,0,0,0,0,1
195988000,195988000,1310996,-0.1609821,0.4520412,-9.857847,11.791376,0,0,0,0,1
196988000,196988000,1310996,-0.09585275,0.70738965,-9.730834,11.791376,0,0,0,0,1
197988000,197988000,1310996,-0.113665804,0.31844482,-9.879989,11.791468,0,0,0,0,1
198988000,198988000,1310996,-0.097811975,-0.4092222,-9.9068165,11.791681,0,0,0,0,1
199988000,199988000,1310996,-0.108572364,-0.6211521,-9.725254,11.791681,0,0,0,0,1
200988000,200988000,1310996,-0.13340427,-0.3041027,-9.800069,11.791651,0,0,0,0,1
201988000,201988000,1310996,-0.14193967,0.36287475,-9.924268,11.791864,0,0,0,0,1
202988000,202988000,1310996,-0.099836685,0.7474689,-9.817247,11.791925,0,0,0,0,1
203988000,203988000,1310996,-0.13626213,0.49894953,-9.804206,11.791986,0,0,0,0,1
204988000,204988000,1310996,-0.061888542,-0.11727084,-10.005702,11.792109,0,0,0,0,1
205988000,205988000,1310996,-0.1317843,-0.6163071,-9.745609,11.791986,0,0,0,0,1
206988000,206988000,1310996,-0.15626661,-0.4444428,-9.769493,11.791773,0,0,0,0,1
207988000,207988000,1310996,-0.14738424,0.11984458,-9.983455,11.791712,0,0,0,0,1
208988000,208988000,1310996,-0.2136348,0.63592124,-9.797476,11.791498,0,0,0,0,1
209988000,209988000,1310996,-0.14596558,0.5864206,-9.668071,11.791224,0,0,0,0,1
210988000,210988000,1310996,-0.09993808,-0.039127015,-9.947552,11.791254,0,0,0,0,1
211988000,211988000,1310996,-0.103923075,-0.55826676,-9.782403,11.791254,0,0,0,0,1
212988000,212988000,1310996,-0.13730007,-0.5751496,-9.753452,11.791101,0,0,0,0,1
213988000,213988000,1310996,-0.13752353,-0.030712517,-9.930243,11.790949,0,0,0,0,1
214988000,214988000,1310996,-0.08199605,0.5573073,-9.838177,11.790796,0,0,0,0,1
215988000,215988000,1310996,-0.14781272,0.6819607,-9.658142,11.790583,0,0,0,0,1
216988000,216988000,1310996,-0.10209588,0.26871115,-9.91823,11.790583,0,0,0,0,1
217988000,217988000,1310996,-0.13613088,-0.42187756,-9.82633,11.790705,0,0,0,0,1
218988000,218988000,1310996,-0.10698453,-0.6856191,-9.706011,11.790674,0,0,0,0,1
219988000,219988000,1310996,-0.10367616,-0.23251164,-9.875212,11.790644,0,0,0,0,1
220988000,220988000,1310996,-0.13897006,0.36073175,-8.579549,11.790644,0,0,0,0,1
221988000,221988000,1310996,-0.33485836,0.6933044,-9.74982,11.795038,0,0,0,0,1
222988000,222988000,1310996,-0.35272744,0.3639861,-9.8885355,11.799921,0,0,0,0,1
223988000,223988000,1310996,-0.27729505,-0.31120965,-9.8558035,11.804651,0,0,0,0,1
224988000,224988000,1310996,-0.23573694,-0.6449605,-9.67586,11.80929,0,0,0,0,1
225988000,225988000,1310996,-0.26389077,-0.35448864,-9.792032,11.813929,0,0,0,0,1
226988000,226988000,1310996,-0.260958,0.29774764,-9.932627,11.818659,0,0,0,0,1
227988000,227988000,1310996,-0.23528767,0.71319234,-9.72296,11.823389,0,0,0,0,1
228988000,228988000,1310996,-0.20314945,0.51571256,-9.7524395,11.828211,0,0,0,0,1
229988000,229988000,1310996,-0.10344288,0.7154369,-12.529716,11.832727,0,0,0,0,1
230988000,230988000,1310996,-0.1709876,0.017330801,-9.693786,11.832727,0,0,0,0,1
231988000,231988000,1310996,-0.1814049,0.07089414,-9.694598,11.832727,0,0,0,0,1
232988000,232988000,1310996,-0.18380634,0.0791576,-9.717653,11.832727,0,0,0,0,1
233988000,233988000,1310996,-0.18840887,0.06452317,-9.735428,11.832727,0,0,0,0,1
234988000,234988000,1310996,-0.123301685,0.04208784,-9.783193,11.832727,0,0,0,0,1
